,Deepfakes,Face2Face,FaceSwap,NeuralTextures,mean_rank,rank_sd
t_coupling_consistency,16.0,1.0,3.0,10.0,7.5,6.86
s_noise_hf_ratio,20.0,9.0,2.0,1.0,8.0,8.76
t_residual_flow_corr,4.0,7.0,31.0,7.0,12.25,12.58
s_noise_res_std,15.0,26.0,4.0,8.0,13.25,9.64
t_skin_texture_corr,32.0,8.0,16.0,3.0,14.75,12.69
t_blink_symmetry,7.0,5.0,1.0,47.0,15.0,21.48
t_jaw_chin_rigidity,25.0,15.0,6.0,14.0,15.0,7.79
t_texture_warp_residual,3.0,4.0,18.0,36.0,15.25,15.44
t_motion_blur_coupling,36.0,3.0,20.0,4.0,15.75,15.59
t_dct_temporal_autocorr,21.0,22.0,5.0,17.0,16.25,7.8
t_rppg_interregion_corr,26.0,2.0,29.0,13.0,17.5,12.45
t_interpupillary_std,12.0,18.0,13.0,27.0,17.5,6.86
s_prnu_energy,5.0,49.0,11.0,9.0,18.5,20.49
t_dct_temporal_std,6.0,25.0,7.0,40.0,19.5,16.22
t_rigid_dist_var,14.0,14.0,17.0,35.0,20.0,10.1
t_noise_corr_std,22.0,28.0,14.0,16.0,20.0,6.32
s_flow_dir_consist,24.0,6.0,46.0,6.0,20.5,19.0
t_skin_color_jitter,2.0,42.0,28.0,15.0,21.75,17.17
t_nose_bridge_std,1.0,16.0,34.0,38.0,22.25,17.1
t_face_ssim_std,28.0,19.0,10.0,33.0,22.5,10.15
s_prnu_face_periph,17.0,46.0,22.0,5.0,22.5,17.21
t_boundary_color_disc,11.0,17.0,40.0,23.0,22.75,12.5
s_noise_vmr,18.0,10.0,19.0,45.0,23.0,15.21
t_noise_spectral_entropy,31.0,13.0,32.0,19.0,23.75,9.29
t_boundary_freq_leakage,13.0,12.0,45.0,28.0,24.5,15.5
t_blink_rate,9.0,11.0,42.0,44.0,26.5,19.09
t_prnu_temporal_stability,10.0,31.0,43.0,24.0,27.0,13.78
t_skin_bg_decorrelation,8.0,48.0,25.0,29.0,27.5,16.42
t_face_ssim_mean,39.0,32.0,37.0,2.0,27.5,17.25
t_specular_stability,19.0,20.0,41.0,32.0,28.0,10.49
t_prnu_face_vs_bg,23.0,45.0,26.0,21.0,28.75,11.03
t_specular_symmetry,38.0,27.0,15.0,37.0,29.25,10.72
s_flow_mag,45.0,30.0,12.0,30.0,29.25,13.5
t_rppg_peak_prominence,40.0,24.0,36.0,18.0,29.5,10.25
t_landmark_jitter,49.0,41.0,23.0,11.0,31.0,17.2
s_shadow_score,29.0,23.0,30.0,42.0,31.0,7.96
t_rppg_snr,33.0,33.0,35.0,25.0,31.5,4.43
t_landmark_velocity_autocorr,41.0,39.0,9.0,41.0,32.5,15.7
t_noise_temporal_corr,34.0,29.0,27.0,43.0,33.25,7.14
t_residual_entropy,42.0,35.0,8.0,49.0,33.5,17.94
t_boundary_grad_temporal,43.0,37.0,21.0,34.0,33.75,9.29
t_landmark_accel_var,47.0,36.0,44.0,12.0,34.75,15.86
t_face_ssim_min,37.0,44.0,33.0,26.0,35.0,7.53
s_blur_mag,48.0,21.0,24.0,48.0,35.25,14.77
t_rppg_harmonic_ratio,35.0,38.0,39.0,31.0,35.75,3.59
t_blink_duration,27.0,34.0,47.0,39.0,36.75,8.42
s_benford_dev,46.0,40.0,49.0,20.0,38.75,13.05
s_face_bg_diff,44.0,43.0,48.0,22.0,39.25,11.7
s_block_artifact,30.0,47.0,38.0,46.0,40.25,7.93
s_dbl_compress,50.0,50.0,50.0,50.0,50.0,0.0
