pillar,c23_auc,c40_auc,degradation
P1_noise,0.7286,0.6316,0.097
T13_motion_blur_coupling,0.6514,0.5614,0.09
T2_rppg,0.5693,0.4994,0.07
T9_skin_texture,0.6186,0.5567,0.0619
T5_codec_residual,0.6052,0.5465,0.0586
T12_blink,0.6286,0.5709,0.0577
T10_color_transfer,0.5941,0.5382,0.0559
T14_dct_temporal,0.5847,0.546,0.0387
T7_rigid_geometry,0.6389,0.604,0.0349
P2_prnu,0.5889,0.5612,0.0277
T1_temporal_noise,0.6004,0.5737,0.0267
T4_face_ssim,0.6089,0.5868,0.022
T8_face_bg_edge,0.529,0.5088,0.0202
P6_compression,0.5425,0.5266,0.0158
T6_landmark_traj,0.5881,0.5786,0.0095
P9_flow,0.5418,0.5497,-0.008
P4_shadow,0.5096,0.5238,-0.0141
T11_specular,0.5367,0.5512,-0.0146
P8_blur,0.4857,0.5088,-0.0231
T3_temporal_prnu,0.5145,0.5395,-0.025
