video,dataset,comp,duration_s,frames,total_extract_s,frame_load_s,mediapipe_s,optical_flow_s,rppg_s,other_s,peak_ram_mb,cpu_time_s,rtf
507.mp4,real,c23,19.54,469,172.565,3.377,2.356,4.952,10.617,151.263,10653.1,265.51,8.831
895.mp4,real,c23,11.76,294,31.605,0.619,2.064,0.794,2.758,25.369,2065.8,42.17,2.687
922.mp4,real,c23,24.64,616,25.539,1.031,2.163,0.54,2.224,19.581,1580.4,33.03,1.036
483.mp4,real,c23,12.5,375,66.744,1.418,2.233,1.737,5.161,56.196,4738.0,103.05,5.34
085.mp4,real,c23,13.16,329,24.69,0.551,2.654,0.527,2.369,18.589,1580.4,32.87,1.876
750.mp4,real,c23,14.7,441,167.178,3.185,2.205,4.807,10.587,146.393,10658.6,266.19,11.373
354.mp4,real,c23,15.33,460,60.237,1.351,2.112,1.619,4.998,50.156,4737.7,95.19,3.929
523.mp4,real,c23,15.0,375,29.444,0.637,2.005,0.705,2.463,23.634,2108.2,39.58,1.963
809.mp4,real,c23,14.68,367,25.211,0.521,2.714,0.52,2.049,19.407,1619.6,32.23,1.717
606.mp4,real,c40,15.48,387,29.185,0.588,1.989,0.689,2.663,23.256,2093.5,39.09,1.885
998.mp4,real,c40,11.47,344,63.846,1.286,2.01,1.663,4.95,53.937,4737.7,98.8,5.568
471.mp4,real,c40,21.6,540,22.975,0.441,2.001,0.517,1.972,18.043,1580.3,29.65,1.064
699.mp4,real,c40,20.96,524,21.738,0.42,2.592,0.473,2.075,16.178,1481.6,27.38,1.037
701.mp4,real,c40,13.1,393,160.322,3.005,2.072,4.644,9.447,141.154,10657.7,254.25,12.238
091.mp4,real,c40,21.3,639,24.469,0.946,1.991,0.532,2.326,18.675,1624.8,32.09,1.149
633.mp4,real,c40,17.07,512,62.811,1.263,2.092,1.652,5.127,52.677,4737.2,97.79,3.68
059.mp4,real,c40,28.84,721,23.276,0.869,2.01,0.525,2.108,17.764,1580.2,30.19,0.807
201.mp4,real,c40,34.52,863,25.533,0.894,2.701,0.522,2.134,19.282,1619.8,32.54,0.74
320.mp4,real,c40,16.8,504,61.549,1.315,2.178,1.644,5.04,51.373,4735.9,98.23,3.664
458.mp4,real,c40,14.62,351,28.387,0.599,1.97,0.731,2.759,22.328,2108.2,38.6,1.941
498.mp4,real,c40,12.68,317,30.365,0.613,2.069,0.733,2.843,24.107,2108.0,40.97,2.395
385_414.mp4,deepfakes,c23,11.63,349,65.639,1.351,2.232,1.672,5.261,55.124,4736.9,101.75,5.642
913_893.mp4,deepfakes,c23,21.13,634,23.743,0.917,1.985,0.514,2.29,18.038,1560.6,31.45,1.123
027_009.mp4,deepfakes,c23,10.5,315,23.78,0.529,2.122,0.512,2.322,18.294,1580.1,31.26,2.265
874_291.mp4,deepfakes,c23,15.63,469,154.922,2.984,2.302,4.79,9.48,135.366,10657.0,238.96,9.91
685_613.mp4,deepfakes,c23,20.88,522,64.806,1.415,2.079,1.677,5.181,54.453,4737.1,100.66,3.104
675_608.mp4,deepfakes,c23,16.84,421,23.422,0.462,2.648,0.491,2.167,17.655,1481.7,29.41,1.391
954_976.mp4,deepfakes,c23,15.04,376,22.841,0.484,2.017,0.524,2.293,17.524,1580.4,30.32,1.519
198_106.mp4,deepfakes,c23,13.07,392,26.598,0.532,2.102,0.582,2.45,20.932,1777.7,34.46,2.036
473_366.mp4,deepfakes,c23,22.96,574,22.962,0.461,2.165,0.516,2.337,17.483,1580.4,30.46,1.0
848_894.mp4,deepfakes,c40,14.4,360,146.848,3.03,2.177,4.276,9.645,127.719,10658.1,241.89,10.198
603_575.mp4,deepfakes,c40,11.84,296,65.93,1.255,2.175,1.851,5.142,55.507,4673.1,100.68,5.568
185_276.mp4,deepfakes,c40,35.0,875,29.552,1.167,2.13,0.716,2.437,23.102,2108.0,39.99,0.844
123_119.mp4,deepfakes,c40,17.13,514,23.314,0.448,2.128,0.515,2.116,18.109,1580.3,30.14,1.361
194_235.mp4,deepfakes,c40,22.68,567,23.822,0.445,1.96,0.516,2.367,18.533,1580.2,31.53,1.05
218_239.mp4,deepfakes,c40,14.12,353,25.559,0.456,2.689,0.549,2.097,19.768,1580.0,32.34,1.81
801_855.mp4,deepfakes,c40,17.76,444,23.564,0.481,2.066,0.514,2.064,18.438,1580.3,30.31,1.327
851_552.mp4,deepfakes,c40,34.71,833,66.015,2.546,2.282,1.687,5.203,54.296,4737.9,103.55,1.902
871_814.mp4,deepfakes,c40,11.6,348,30.18,0.621,2.117,0.717,2.535,24.192,2106.9,40.24,2.602
505_600.mp4,deepfakes,c40,18.1,543,24.272,0.458,2.152,0.528,2.192,18.941,1614.9,31.19,1.341
873_872.mp4,deepfakes,c40,35.36,884,67.955,2.64,2.347,1.696,5.053,56.218,4738.2,103.99,1.922
690_689.mp4,face2face,c23,15.17,455,30.14,0.616,2.068,0.707,2.634,24.115,2053.8,40.26,1.987
879_963.mp4,face2face,c23,23.07,692,32.328,1.191,2.003,0.727,3.15,25.258,2053.7,44.13,1.402
922_898.mp4,face2face,c23,13.96,349,24.125,0.525,2.16,0.524,2.149,18.767,1580.4,31.25,1.728
777_745.mp4,face2face,c23,18.97,569,24.35,0.456,2.558,0.528,2.128,18.68,1580.0,31.3,1.284
716_712.mp4,face2face,c23,22.0,550,21.989,0.444,2.053,0.47,2.221,16.801,1422.4,28.1,1.0
294_292.mp4,face2face,c23,14.17,425,66.047,1.405,2.161,1.686,5.104,55.691,4738.0,103.83,4.662
142_138.mp4,face2face,c23,16.4,410,19.602,0.42,2.051,0.453,1.951,14.728,1422.5,25.06,1.195
084_042.mp4,face2face,c23,22.53,338,148.929,3.12,2.473,4.501,9.787,129.048,10658.8,234.84,6.609
956_958.mp4,face2face,c23,15.68,392,31.713,0.644,2.634,0.708,2.817,24.909,2054.0,42.57,2.022
854_747.mp4,face2face,c23,18.8,470,62.07,1.357,2.27,1.646,4.932,51.864,4737.7,97.21,3.302
972_718.mp4,face2face,c23,23.12,578,137.033,3.245,2.49,3.888,9.338,118.073,10657.4,222.02,5.927
401_395.mp4,face2face,c23,14.93,448,61.76,1.36,2.12,1.631,5.113,51.536,4737.7,97.66,4.136
