dataset,pillar,n_pillar_feats,full_auc,loGo_auc,delta_auc,delta_ci_lo,delta_ci_hi,n_test
Deepfakes,P1_noise,3,0.9706,0.9717,-0.0011,-0.0056,0.0033,267
Deepfakes,P2_prnu,2,0.9706,0.9723,-0.0017,-0.0065,0.0028,267
Deepfakes,P4_shadow,2,0.9706,0.9713,-0.0007,-0.004,0.0023,267
Deepfakes,P6_compression,3,0.9706,0.9702,0.0004,-0.0035,0.0042,267
Deepfakes,P8_blur,1,0.9706,0.971,-0.0004,-0.0047,0.0036,267
Deepfakes,P9_flow,2,0.9706,0.9728,-0.0022,-0.0057,0.0009,267
Deepfakes,T1_temporal_noise,3,0.9706,0.9694,0.0012,-0.0018,0.0044,267
Deepfakes,T2_rppg,4,0.9706,0.9723,-0.0017,-0.0052,0.001,267
Deepfakes,T3_temporal_prnu,2,0.9706,0.9713,-0.0007,-0.0061,0.0048,267
Deepfakes,T4_face_ssim,3,0.9706,0.9719,-0.0013,-0.0047,0.002,267
Deepfakes,T5_codec_residual,2,0.9706,0.969,0.0016,-0.0034,0.0067,267
Deepfakes,T6_landmark_traj,4,0.9706,0.9716,-0.001,-0.0053,0.0032,267
Deepfakes,T7_rigid_geometry,3,0.9706,0.9548,0.0158,-0.0002,0.0322,267
Deepfakes,T8_face_bg_edge,3,0.9706,0.975,-0.0044,-0.0098,0.0005,267
Deepfakes,T9_skin_texture,2,0.9706,0.975,-0.0044,-0.0146,0.0048,267
Deepfakes,T10_color_transfer,2,0.9706,0.9591,0.0115,-0.0012,0.0252,267
Deepfakes,T11_specular,2,0.9706,0.971,-0.0004,-0.0043,0.0035,267
Deepfakes,T12_blink,3,0.9706,0.969,0.0016,-0.0036,0.0071,267
Deepfakes,T13_motion_blur_coupling,2,0.9706,0.9708,-0.0002,-0.0043,0.0043,267
Deepfakes,T14_dct_temporal,2,0.9706,0.9693,0.0013,-0.0033,0.0066,267
Face2Face,P1_noise,3,0.8096,0.8048,0.0048,-0.013,0.0219,268
Face2Face,P2_prnu,2,0.8096,0.8176,-0.008,-0.0218,0.005,268
Face2Face,P4_shadow,2,0.8096,0.8208,-0.0112,-0.0262,0.0034,268
Face2Face,P6_compression,3,0.8096,0.8181,-0.0085,-0.0227,0.0047,268
Face2Face,P8_blur,1,0.8096,0.8158,-0.0062,-0.0209,0.008,268
Face2Face,P9_flow,2,0.8096,0.8061,0.0035,-0.0146,0.021,268
Face2Face,T1_temporal_noise,3,0.8096,0.8132,-0.0036,-0.0168,0.0109,268
Face2Face,T2_rppg,4,0.8096,0.8128,-0.0032,-0.0314,0.0251,268
Face2Face,T3_temporal_prnu,2,0.8096,0.8175,-0.0079,-0.0238,0.0086,268
Face2Face,T4_face_ssim,3,0.8096,0.8138,-0.0042,-0.0216,0.0123,268
Face2Face,T5_codec_residual,2,0.8096,0.8102,-0.0006,-0.0196,0.0179,268
Face2Face,T6_landmark_traj,4,0.8096,0.8188,-0.0092,-0.0267,0.0076,268
Face2Face,T7_rigid_geometry,3,0.8096,0.8098,-0.0002,-0.0233,0.0218,268
Face2Face,T8_face_bg_edge,3,0.8096,0.82,-0.0104,-0.027,0.0048,268
Face2Face,T9_skin_texture,2,0.8096,0.8028,0.0068,-0.0128,0.0252,268
Face2Face,T10_color_transfer,2,0.8096,0.8111,-0.0016,-0.0158,0.0121,268
Face2Face,T11_specular,2,0.8096,0.815,-0.0055,-0.0216,0.0097,268
Face2Face,T12_blink,3,0.8096,0.8099,-0.0003,-0.0191,0.0174,268
