rank,feature,score,method
1,t_noise_spectral_entropy,1.4019733661376002,SHAP (mean |φ|)
2,t_coupling_consistency,0.740176466850939,SHAP (mean |φ|)
3,t_nose_bridge_std,0.6651244587089606,SHAP (mean |φ|)
4,t_dct_temporal_autocorr,0.5371023462335253,SHAP (mean |φ|)
5,t_blink_symmetry,0.3619085123003583,SHAP (mean |φ|)
6,t_skin_color_jitter,0.3560968340927666,SHAP (mean |φ|)
7,t_texture_warp_residual,0.28178145460240367,SHAP (mean |φ|)
8,t_rppg_interregion_corr,0.27987142300984635,SHAP (mean |φ|)
9,t_blink_rate,0.24196018307040365,SHAP (mean |φ|)
10,t_boundary_color_disc,0.2279679695857174,SHAP (mean |φ|)
11,s_noise_hf_ratio,0.20785613776398063,SHAP (mean |φ|)
12,s_flow_dir_consist,0.20631177738449744,SHAP (mean |φ|)
13,t_motion_blur_coupling,0.2050999102551432,SHAP (mean |φ|)
14,t_rppg_peak_prominence,0.1730548357565541,SHAP (mean |φ|)
15,t_landmark_jitter,0.1689341794602584,SHAP (mean |φ|)
16,t_interpupillary_std,0.15783147876418066,SHAP (mean |φ|)
17,s_noise_vmr,0.14963732018199297,SHAP (mean |φ|)
18,t_rigid_dist_var,0.14611582112883553,SHAP (mean |φ|)
19,t_noise_corr_std,0.13731581813668559,SHAP (mean |φ|)
20,t_boundary_freq_leakage,0.10834397319467448,SHAP (mean |φ|)
21,t_jaw_chin_rigidity,0.10743573210463085,SHAP (mean |φ|)
22,t_skin_bg_decorrelation,0.10369541456582015,SHAP (mean |φ|)
23,t_dct_temporal_std,0.09927339218160831,SHAP (mean |φ|)
24,t_face_ssim_std,0.09908498710480575,SHAP (mean |φ|)
25,t_residual_flow_corr,0.08211067648201228,SHAP (mean |φ|)
26,s_noise_res_std,0.07200899952459767,SHAP (mean |φ|)
27,t_rppg_snr,0.06998895994110588,SHAP (mean |φ|)
28,s_shadow_score,0.06197557105610283,SHAP (mean |φ|)
29,t_skin_texture_corr,0.06118148561603918,SHAP (mean |φ|)
30,t_blink_duration,0.05650482058415312,SHAP (mean |φ|)
31,t_rppg_harmonic_ratio,0.05539003102913143,SHAP (mean |φ|)
32,t_prnu_face_vs_bg,0.055199000315128796,SHAP (mean |φ|)
33,t_boundary_grad_temporal,0.04601633740512397,SHAP (mean |φ|)
34,t_noise_temporal_corr,0.04582893268094434,SHAP (mean |φ|)
35,s_prnu_energy,0.0443922405662366,SHAP (mean |φ|)
36,s_flow_mag,0.040674693393542585,SHAP (mean |φ|)
37,t_landmark_accel_var,0.03987100299026276,SHAP (mean |φ|)
38,t_prnu_temporal_stability,0.039222865470013815,SHAP (mean |φ|)
39,t_residual_entropy,0.03710404175764418,SHAP (mean |φ|)
40,t_face_ssim_mean,0.03549780189729739,SHAP (mean |φ|)
41,s_prnu_face_periph,0.028317669293228386,SHAP (mean |φ|)
42,s_blur_mag,0.02497583198001768,SHAP (mean |φ|)
43,t_specular_stability,0.022934929284012872,SHAP (mean |φ|)
44,s_benford_dev,0.022577281858834848,SHAP (mean |φ|)
45,t_landmark_velocity_autocorr,0.01751009477477721,SHAP (mean |φ|)
46,t_face_ssim_min,0.016421341667960616,SHAP (mean |φ|)
47,t_specular_symmetry,0.01528830876883425,SHAP (mean |φ|)
48,s_face_bg_diff,0.013101761233932963,SHAP (mean |φ|)
49,s_block_artifact,0.01279794014356806,SHAP (mean |φ|)
50,s_dbl_compress,0.00036678942350752475,SHAP (mean |φ|)
