threshold,TN,FP,FN,TP,acc,prec_real,rec_real,f1_real,prec_fake,rec_fake,f1_fake,f1_macro,f1_weighted
0.2,84,722,50,5273,0.874,0.6269,0.1042,0.1787,0.8796,0.9906,0.9318,0.5553,0.8328
0.25,106,700,99,5224,0.8696,0.5171,0.1315,0.2097,0.8818,0.9814,0.929,0.5693,0.8344
0.3,129,677,159,5164,0.8636,0.4479,0.16,0.2358,0.8841,0.9701,0.9251,0.5805,0.8345
0.35,163,643,210,5113,0.8608,0.437,0.2022,0.2765,0.8883,0.9605,0.923,0.5998,0.838
0.4,189,617,274,5049,0.8546,0.4082,0.2345,0.2979,0.8911,0.9485,0.9189,0.6084,0.8372
0.45,215,591,341,4982,0.8479,0.3867,0.2667,0.3157,0.894,0.9359,0.9145,0.6151,0.8357
0.5,242,564,413,4910,0.8406,0.3695,0.3002,0.3313,0.897,0.9224,0.9095,0.6204,0.8335
0.55,266,540,503,4820,0.8298,0.3459,0.33,0.3378,0.8993,0.9055,0.9024,0.6201,0.8281
0.6,283,523,590,4733,0.8184,0.3242,0.3511,0.3371,0.9005,0.8892,0.8948,0.6159,0.8215
0.65,312,494,690,4633,0.8068,0.3114,0.3871,0.3451,0.9036,0.8704,0.8867,0.6159,0.8155
0.7,336,470,825,4498,0.7887,0.2894,0.4169,0.3416,0.9054,0.845,0.8742,0.6079,0.8041
0.75,361,445,951,4372,0.7722,0.2752,0.4479,0.3409,0.9076,0.8213,0.8623,0.6016,0.7938
0.8,395,411,1140,4183,0.7469,0.2573,0.4901,0.3375,0.9105,0.7858,0.8436,0.5905,0.777
