group,klass,input_videos,successfully_processed,excluded,exclusion_pct,median_landmark_success_pct,excl_file_missing,excl_decode_failure,excl_mediapipe_no_face,excl_insufficient_valid_frames,excl_feature_computation_failure,excl_retained,excl_fcf_t5_codec_residual_NaN,excl_fcf_not_reproducible
Celeb-DF v2 Celeb-real,real,590,545,45,7.63,100.0,0,0,5,1,39,545,29,10
Celeb-DF v2 Celeb-synthesis,fake,5639,5323,316,5.6,100.0,0,0,39,0,277,5323,198,79
Celeb-DF v2 YouTube-real,real,300,253,47,15.67,100.0,0,0,10,0,37,253,31,6
DF40 facedancer,fake,788,782,6,0.76,100.0,0,0,5,1,0,782,0,0
DF40 heygen,fake,50,43,7,14.0,100.0,0,0,7,0,0,43,0,0
DF40 heygen,real,50,50,0,0.0,100.0,0,0,0,0,0,50,0,0
DF40 hyperreenact,fake,781,781,0,0.0,100.0,0,0,0,0,0,781,0,0
DF40 inswap,fake,542,538,4,0.74,100.0,0,0,4,0,0,538,0,0
DF40 sadtalker,fake,802,787,15,1.87,100.0,0,0,15,0,0,787,0,0
DF40 wav2lip,fake,808,800,8,0.99,100.0,0,0,7,1,0,800,0,0
FF++ deepfakes c23,fake,1000,956,44,4.4,100.0,0,0,19,0,25,956,25,0
FF++ deepfakes c40,fake,1000,950,50,5.0,100.0,0,0,23,0,27,950,27,0
FF++ face2face c23,fake,1000,960,40,4.0,100.0,0,0,18,0,22,960,22,0
FF++ face2face c40,fake,1000,955,45,4.5,100.0,0,0,19,0,26,955,26,0
FF++ faceswap c23,fake,1000,960,40,4.0,100.0,0,0,17,0,23,960,23,0
FF++ faceswap c40,fake,1000,958,42,4.2,100.0,0,0,20,0,22,958,22,0
FF++ neuraltextures c23,fake,1000,961,39,3.9,100.0,0,0,17,0,22,961,22,0
FF++ neuraltextures c40,fake,1000,959,41,4.1,100.0,0,0,20,0,21,959,21,0
FF++ original c23,real,1000,960,40,4.0,100.0,0,0,15,0,25,960,25,0
FF++ original c40,real,1000,953,47,4.7,100.0,0,0,20,0,27,953,27,0
WildDeepfake,fake,81,69,12,14.81,100.0,0,0,0,1,11,69,11,0
WildDeepfake,real,93,55,38,40.86,100.0,0,0,5,2,31,55,31,0
