target,clf,auc,lo,hi
deepfakes,LR,0.9517,0.9263,0.9754
deepfakes,RF,0.9677,0.9508,0.982
deepfakes,LightGBM,0.9706,0.9548,0.9842
face2face,LR,0.7791,0.7417,0.8185
face2face,RF,0.8177,0.7804,0.8569
face2face,LightGBM,0.8096,0.769,0.8496
faceswap,LR,0.9362,0.9045,0.9627
faceswap,RF,0.9633,0.9416,0.9798
faceswap,LightGBM,0.9631,0.9425,0.9795
neuraltextures,LR,0.7622,0.7273,0.803
neuraltextures,RF,0.7556,0.7217,0.7954
neuraltextures,LightGBM,0.7867,0.7464,0.8282
"celebdf
(zero-shot)",LR,0.587,0.5592,0.6155
"celebdf
(zero-shot)",RF,0.6365,0.6081,0.6585
"celebdf
(zero-shot)",LightGBM,0.6322,0.608,0.6538
