video,dataset,manipulation,compression,true_label,pred_prob,model,split,seed
000,FFpp,deepfakes,c23,0,0.000188,PRISM_50D_indist,test,42
003,FFpp,deepfakes,c23,0,0.008039,PRISM_50D_indist,test,42
012,FFpp,deepfakes,c23,0,0.373382,PRISM_50D_indist,test,42
015,FFpp,deepfakes,c23,0,0.776827,PRISM_50D_indist,test,42
024,FFpp,deepfakes,c23,0,0.941545,PRISM_50D_indist,test,42
026,FFpp,deepfakes,c23,0,0.00029,PRISM_50D_indist,test,42
029,FFpp,deepfakes,c23,0,0.029542,PRISM_50D_indist,test,42
035,FFpp,deepfakes,c23,0,0.004156,PRISM_50D_indist,test,42
036,FFpp,deepfakes,c23,0,0.158364,PRISM_50D_indist,test,42
048,FFpp,deepfakes,c23,0,0.003897,PRISM_50D_indist,test,42
047,FFpp,deepfakes,c23,0,0.005749,PRISM_50D_indist,test,42
044,FFpp,deepfakes,c23,0,0.000616,PRISM_50D_indist,test,42
073,FFpp,deepfakes,c23,0,0.451409,PRISM_50D_indist,test,42
078,FFpp,deepfakes,c23,0,0.000679,PRISM_50D_indist,test,42
102,FFpp,deepfakes,c23,0,0.004254,PRISM_50D_indist,test,42
114,FFpp,deepfakes,c23,0,0.011369,PRISM_50D_indist,test,42
128,FFpp,deepfakes,c23,0,0.252283,PRISM_50D_indist,test,42
138,FFpp,deepfakes,c23,0,0.001364,PRISM_50D_indist,test,42
135,FFpp,deepfakes,c23,0,0.001857,PRISM_50D_indist,test,42
142,FFpp,deepfakes,c23,0,0.00168,PRISM_50D_indist,test,42
141,FFpp,deepfakes,c23,0,0.003635,PRISM_50D_indist,test,42
161,FFpp,deepfakes,c23,0,0.056293,PRISM_50D_indist,test,42
154,FFpp,deepfakes,c23,0,0.0022,PRISM_50D_indist,test,42
169,FFpp,deepfakes,c23,0,0.006422,PRISM_50D_indist,test,42
170,FFpp,deepfakes,c23,0,0.424386,PRISM_50D_indist,test,42
176,FFpp,deepfakes,c23,0,0.000187,PRISM_50D_indist,test,42
186,FFpp,deepfakes,c23,0,8.4e-05,PRISM_50D_indist,test,42
190,FFpp,deepfakes,c23,0,0.002191,PRISM_50D_indist,test,42
214,FFpp,deepfakes,c23,0,0.021591,PRISM_50D_indist,test,42
220,FFpp,deepfakes,c23,0,0.067492,PRISM_50D_indist,test,42
219,FFpp,deepfakes,c23,0,0.004666,PRISM_50D_indist,test,42
227,FFpp,deepfakes,c23,0,0.001532,PRISM_50D_indist,test,42
249,FFpp,deepfakes,c23,0,0.005308,PRISM_50D_indist,test,42
257,FFpp,deepfakes,c23,0,0.010941,PRISM_50D_indist,test,42
255,FFpp,deepfakes,c23,0,0.000399,PRISM_50D_indist,test,42
278,FFpp,deepfakes,c23,0,0.001403,PRISM_50D_indist,test,42
280,FFpp,deepfakes,c23,0,0.129095,PRISM_50D_indist,test,42
288,FFpp,deepfakes,c23,0,0.011836,PRISM_50D_indist,test,42
306,FFpp,deepfakes,c23,0,0.458024,PRISM_50D_indist,test,42
308,FFpp,deepfakes,c23,0,0.030221,PRISM_50D_indist,test,42
314,FFpp,deepfakes,c23,0,0.000419,PRISM_50D_indist,test,42
321,FFpp,deepfakes,c23,0,0.083022,PRISM_50D_indist,test,42
319,FFpp,deepfakes,c23,0,0.165459,PRISM_50D_indist,test,42
347,FFpp,deepfakes,c23,0,0.005349,PRISM_50D_indist,test,42
352,FFpp,deepfakes,c23,0,0.396736,PRISM_50D_indist,test,42
358,FFpp,deepfakes,c23,0,0.001012,PRISM_50D_indist,test,42
367,FFpp,deepfakes,c23,0,0.001086,PRISM_50D_indist,test,42
371,FFpp,deepfakes,c23,0,0.26149,PRISM_50D_indist,test,42
379,FFpp,deepfakes,c23,0,0.476481,PRISM_50D_indist,test,42
380,FFpp,deepfakes,c23,0,0.002163,PRISM_50D_indist,test,42
381,FFpp,deepfakes,c23,0,0.006452,PRISM_50D_indist,test,42
388,FFpp,deepfakes,c23,0,0.032126,PRISM_50D_indist,test,42
384,FFpp,deepfakes,c23,0,0.000974,PRISM_50D_indist,test,42
386,FFpp,deepfakes,c23,0,0.002608,PRISM_50D_indist,test,42
389,FFpp,deepfakes,c23,0,0.000639,PRISM_50D_indist,test,42
399,FFpp,deepfakes,c23,0,0.000685,PRISM_50D_indist,test,42
404,FFpp,deepfakes,c23,0,0.107336,PRISM_50D_indist,test,42
420,FFpp,deepfakes,c23,0,0.736521,PRISM_50D_indist,test,42
421,FFpp,deepfakes,c23,0,0.428665,PRISM_50D_indist,test,42
423,FFpp,deepfakes,c23,0,0.507183,PRISM_50D_indist,test,42
418,FFpp,deepfakes,c23,0,0.000346,PRISM_50D_indist,test,42
425,FFpp,deepfakes,c23,0,0.73293,PRISM_50D_indist,test,42
429,FFpp,deepfakes,c23,0,0.000472,PRISM_50D_indist,test,42
422,FFpp,deepfakes,c23,0,0.592449,PRISM_50D_indist,test,42
445,FFpp,deepfakes,c23,0,0.058804,PRISM_50D_indist,test,42
452,FFpp,deepfakes,c23,0,0.351195,PRISM_50D_indist,test,42
454,FFpp,deepfakes,c23,0,0.00115,PRISM_50D_indist,test,42
462,FFpp,deepfakes,c23,0,0.002604,PRISM_50D_indist,test,42
467,FFpp,deepfakes,c23,0,0.017967,PRISM_50D_indist,test,42
485,FFpp,deepfakes,c23,0,0.001915,PRISM_50D_indist,test,42
480,FFpp,deepfakes,c23,0,0.00045,PRISM_50D_indist,test,42
488,FFpp,deepfakes,c23,0,0.089668,PRISM_50D_indist,test,42
494,FFpp,deepfakes,c23,0,0.000799,PRISM_50D_indist,test,42
479,FFpp,deepfakes,c23,0,0.001255,PRISM_50D_indist,test,42
517,FFpp,deepfakes,c23,0,0.030474,PRISM_50D_indist,test,42
521,FFpp,deepfakes,c23,0,0.010385,PRISM_50D_indist,test,42
507,FFpp,deepfakes,c23,0,0.001634,PRISM_50D_indist,test,42
527,FFpp,deepfakes,c23,0,0.236062,PRISM_50D_indist,test,42
550,FFpp,deepfakes,c23,0,0.302029,PRISM_50D_indist,test,42
529,FFpp,deepfakes,c23,0,0.000113,PRISM_50D_indist,test,42
552,FFpp,deepfakes,c23,0,0.002845,PRISM_50D_indist,test,42
579,FFpp,deepfakes,c23,0,0.000549,PRISM_50D_indist,test,42
608,FFpp,deepfakes,c23,0,0.014711,PRISM_50D_indist,test,42
623,FFpp,deepfakes,c23,0,0.031729,PRISM_50D_indist,test,42
625,FFpp,deepfakes,c23,0,0.003882,PRISM_50D_indist,test,42
607,FFpp,deepfakes,c23,0,0.01684,PRISM_50D_indist,test,42
630,FFpp,deepfakes,c23,0,0.202994,PRISM_50D_indist,test,42
633,FFpp,deepfakes,c23,0,0.00438,PRISM_50D_indist,test,42
634,FFpp,deepfakes,c23,0,0.058619,PRISM_50D_indist,test,42
650,FFpp,deepfakes,c23,0,0.005597,PRISM_50D_indist,test,42
669,FFpp,deepfakes,c23,0,0.843893,PRISM_50D_indist,test,42
670,FFpp,deepfakes,c23,0,0.00198,PRISM_50D_indist,test,42
661,FFpp,deepfakes,c23,0,0.065886,PRISM_50D_indist,test,42
660,FFpp,deepfakes,c23,0,0.000688,PRISM_50D_indist,test,42
675,FFpp,deepfakes,c23,0,0.616717,PRISM_50D_indist,test,42
682,FFpp,deepfakes,c23,0,0.072819,PRISM_50D_indist,test,42
691,FFpp,deepfakes,c23,0,0.00014,PRISM_50D_indist,test,42
683,FFpp,deepfakes,c23,0,0.000517,PRISM_50D_indist,test,42
705,FFpp,deepfakes,c23,0,0.085609,PRISM_50D_indist,test,42
707,FFpp,deepfakes,c23,0,0.000956,PRISM_50D_indist,test,42
695,FFpp,deepfakes,c23,0,0.002033,PRISM_50D_indist,test,42
714,FFpp,deepfakes,c23,0,0.00012,PRISM_50D_indist,test,42
701,FFpp,deepfakes,c23,0,0.000927,PRISM_50D_indist,test,42
706,FFpp,deepfakes,c23,0,7.5e-05,PRISM_50D_indist,test,42
731,FFpp,deepfakes,c23,0,0.000949,PRISM_50D_indist,test,42
725,FFpp,deepfakes,c23,0,0.982283,PRISM_50D_indist,test,42
732,FFpp,deepfakes,c23,0,0.00425,PRISM_50D_indist,test,42
741,FFpp,deepfakes,c23,0,0.035859,PRISM_50D_indist,test,42
739,FFpp,deepfakes,c23,0,0.002848,PRISM_50D_indist,test,42
724,FFpp,deepfakes,c23,0,0.031731,PRISM_50D_indist,test,42
755,FFpp,deepfakes,c23,0,0.000843,PRISM_50D_indist,test,42
801,FFpp,deepfakes,c23,0,0.030956,PRISM_50D_indist,test,42
812,FFpp,deepfakes,c23,0,0.007864,PRISM_50D_indist,test,42
821,FFpp,deepfakes,c23,0,0.207402,PRISM_50D_indist,test,42
842,FFpp,deepfakes,c23,0,0.005877,PRISM_50D_indist,test,42
855,FFpp,deepfakes,c23,0,0.000714,PRISM_50D_indist,test,42
847,FFpp,deepfakes,c23,0,0.004498,PRISM_50D_indist,test,42
851,FFpp,deepfakes,c23,0,0.000348,PRISM_50D_indist,test,42
868,FFpp,deepfakes,c23,0,0.00498,PRISM_50D_indist,test,42
865,FFpp,deepfakes,c23,0,0.000752,PRISM_50D_indist,test,42
896,FFpp,deepfakes,c23,0,0.003197,PRISM_50D_indist,test,42
917,FFpp,deepfakes,c23,0,0.000146,PRISM_50D_indist,test,42
919,FFpp,deepfakes,c23,0,0.102753,PRISM_50D_indist,test,42
906,FFpp,deepfakes,c23,0,0.00014,PRISM_50D_indist,test,42
924,FFpp,deepfakes,c23,0,0.002594,PRISM_50D_indist,test,42
932,FFpp,deepfakes,c23,0,0.000105,PRISM_50D_indist,test,42
949,FFpp,deepfakes,c23,0,0.0393,PRISM_50D_indist,test,42
945,FFpp,deepfakes,c23,0,0.777754,PRISM_50D_indist,test,42
955,FFpp,deepfakes,c23,0,0.054104,PRISM_50D_indist,test,42
953,FFpp,deepfakes,c23,0,0.002729,PRISM_50D_indist,test,42
970,FFpp,deepfakes,c23,0,0.005558,PRISM_50D_indist,test,42
973,FFpp,deepfakes,c23,0,0.001154,PRISM_50D_indist,test,42
974,FFpp,deepfakes,c23,0,0.001691,PRISM_50D_indist,test,42
995,FFpp,deepfakes,c23,0,0.029578,PRISM_50D_indist,test,42
000_003,FFpp,deepfakes,c23,1,0.023031,PRISM_50D_indist,test,42
003_000,FFpp,deepfakes,c23,1,0.500273,PRISM_50D_indist,test,42
012_026,FFpp,deepfakes,c23,1,0.353511,PRISM_50D_indist,test,42
015_919,FFpp,deepfakes,c23,1,0.973817,PRISM_50D_indist,test,42
024_073,FFpp,deepfakes,c23,1,0.996533,PRISM_50D_indist,test,42
029_048,FFpp,deepfakes,c23,1,0.988553,PRISM_50D_indist,test,42
026_012,FFpp,deepfakes,c23,1,0.986376,PRISM_50D_indist,test,42
035_036,FFpp,deepfakes,c23,1,0.998329,PRISM_50D_indist,test,42
036_035,FFpp,deepfakes,c23,1,0.998398,PRISM_50D_indist,test,42
047_862,FFpp,deepfakes,c23,1,0.987514,PRISM_50D_indist,test,42
048_029,FFpp,deepfakes,c23,1,0.999121,PRISM_50D_indist,test,42
044_945,FFpp,deepfakes,c23,1,0.992484,PRISM_50D_indist,test,42
073_024,FFpp,deepfakes,c23,1,0.997407,PRISM_50D_indist,test,42
078_955,FFpp,deepfakes,c23,1,0.549713,PRISM_50D_indist,test,42
102_114,FFpp,deepfakes,c23,1,0.064889,PRISM_50D_indist,test,42
114_102,FFpp,deepfakes,c23,1,0.997129,PRISM_50D_indist,test,42
128_896,FFpp,deepfakes,c23,1,0.423754,PRISM_50D_indist,test,42
138_142,FFpp,deepfakes,c23,1,0.997386,PRISM_50D_indist,test,42
141_161,FFpp,deepfakes,c23,1,0.95126,PRISM_50D_indist,test,42
142_138,FFpp,deepfakes,c23,1,0.984273,PRISM_50D_indist,test,42
135_880,FFpp,deepfakes,c23,1,0.999873,PRISM_50D_indist,test,42
158_379,FFpp,deepfakes,c23,1,0.901488,PRISM_50D_indist,test,42
161_141,FFpp,deepfakes,c23,1,0.997287,PRISM_50D_indist,test,42
154_386,FFpp,deepfakes,c23,1,0.999715,PRISM_50D_indist,test,42
169_227,FFpp,deepfakes,c23,1,0.249714,PRISM_50D_indist,test,42
170_186,FFpp,deepfakes,c23,1,0.997716,PRISM_50D_indist,test,42
176_190,FFpp,deepfakes,c23,1,0.997718,PRISM_50D_indist,test,42
186_170,FFpp,deepfakes,c23,1,0.529269,PRISM_50D_indist,test,42
