video,label,p,method,target,dataset
000,0,0.2610662016628949,current(POS+CHROM),deepfakes,FFpp
003,0,0.6262045581116656,current(POS+CHROM),deepfakes,FFpp
012,0,0.32610145786034545,current(POS+CHROM),deepfakes,FFpp
015,0,0.654728581434489,current(POS+CHROM),deepfakes,FFpp
024,0,0.2670446879287213,current(POS+CHROM),deepfakes,FFpp
026,0,0.6994706286023202,current(POS+CHROM),deepfakes,FFpp
029,0,0.46544158929802293,current(POS+CHROM),deepfakes,FFpp
035,0,0.8928129274511097,current(POS+CHROM),deepfakes,FFpp
036,0,0.563795907782506,current(POS+CHROM),deepfakes,FFpp
048,0,0.7255930382281138,current(POS+CHROM),deepfakes,FFpp
044,0,0.2799697398755179,current(POS+CHROM),deepfakes,FFpp
047,0,0.3729737294869929,current(POS+CHROM),deepfakes,FFpp
073,0,0.3395076605122999,current(POS+CHROM),deepfakes,FFpp
078,0,0.5842516766636833,current(POS+CHROM),deepfakes,FFpp
102,0,0.3533794742495636,current(POS+CHROM),deepfakes,FFpp
114,0,0.5422184213481277,current(POS+CHROM),deepfakes,FFpp
128,0,0.2416522014609487,current(POS+CHROM),deepfakes,FFpp
138,0,0.8100917089413753,current(POS+CHROM),deepfakes,FFpp
135,0,0.39371715052560746,current(POS+CHROM),deepfakes,FFpp
141,0,0.5339466106632649,current(POS+CHROM),deepfakes,FFpp
142,0,0.43398475132759484,current(POS+CHROM),deepfakes,FFpp
158,0,0.46238635451928844,current(POS+CHROM),deepfakes,FFpp
161,0,0.4854739652953974,current(POS+CHROM),deepfakes,FFpp
154,0,0.2727804708854521,current(POS+CHROM),deepfakes,FFpp
169,0,0.5389838545387297,current(POS+CHROM),deepfakes,FFpp
170,0,0.35821894943983673,current(POS+CHROM),deepfakes,FFpp
176,0,0.33534265525161455,current(POS+CHROM),deepfakes,FFpp
186,0,0.3202433588269797,current(POS+CHROM),deepfakes,FFpp
190,0,0.46805915363444467,current(POS+CHROM),deepfakes,FFpp
214,0,0.15102966446223795,current(POS+CHROM),deepfakes,FFpp
220,0,0.6535779202970994,current(POS+CHROM),deepfakes,FFpp
219,0,0.4144979519580612,current(POS+CHROM),deepfakes,FFpp
227,0,0.7653137305501883,current(POS+CHROM),deepfakes,FFpp
233,0,0.511877829356648,current(POS+CHROM),deepfakes,FFpp
249,0,0.44101015028693485,current(POS+CHROM),deepfakes,FFpp
255,0,0.8078913274935129,current(POS+CHROM),deepfakes,FFpp
257,0,0.36437850298805663,current(POS+CHROM),deepfakes,FFpp
278,0,0.6384657226309661,current(POS+CHROM),deepfakes,FFpp
280,0,0.6418475427907974,current(POS+CHROM),deepfakes,FFpp
288,0,0.42848814939801116,current(POS+CHROM),deepfakes,FFpp
306,0,0.3620447236954835,current(POS+CHROM),deepfakes,FFpp
308,0,0.8083575954883478,current(POS+CHROM),deepfakes,FFpp
314,0,0.7331708991738082,current(POS+CHROM),deepfakes,FFpp
319,0,0.3661738139162397,current(POS+CHROM),deepfakes,FFpp
321,0,0.5601874985423058,current(POS+CHROM),deepfakes,FFpp
347,0,0.3858304539188373,current(POS+CHROM),deepfakes,FFpp
352,0,0.5003639420020057,current(POS+CHROM),deepfakes,FFpp
358,0,0.76062888715116,current(POS+CHROM),deepfakes,FFpp
367,0,0.5048512587432701,current(POS+CHROM),deepfakes,FFpp
371,0,0.6578481636716816,current(POS+CHROM),deepfakes,FFpp
379,0,0.3757731958075352,current(POS+CHROM),deepfakes,FFpp
380,0,0.3165455266780929,current(POS+CHROM),deepfakes,FFpp
376,0,0.5507948868888275,current(POS+CHROM),deepfakes,FFpp
381,0,0.4378571881473386,current(POS+CHROM),deepfakes,FFpp
388,0,0.6835934791187122,current(POS+CHROM),deepfakes,FFpp
386,0,0.7538722945171973,current(POS+CHROM),deepfakes,FFpp
384,0,0.56634665957105,current(POS+CHROM),deepfakes,FFpp
389,0,0.429542046244387,current(POS+CHROM),deepfakes,FFpp
399,0,0.4260910109166528,current(POS+CHROM),deepfakes,FFpp
404,0,0.4940772102975884,current(POS+CHROM),deepfakes,FFpp
421,0,0.07976140617606928,current(POS+CHROM),deepfakes,FFpp
420,0,0.6132299104098166,current(POS+CHROM),deepfakes,FFpp
418,0,0.5214113329255464,current(POS+CHROM),deepfakes,FFpp
425,0,0.12892579384356606,current(POS+CHROM),deepfakes,FFpp
423,0,0.6177825783054819,current(POS+CHROM),deepfakes,FFpp
429,0,0.4835905671099582,current(POS+CHROM),deepfakes,FFpp
422,0,0.4248965869891018,current(POS+CHROM),deepfakes,FFpp
452,0,0.3408981637766604,current(POS+CHROM),deepfakes,FFpp
445,0,0.2598073828303836,current(POS+CHROM),deepfakes,FFpp
454,0,0.4030508005841342,current(POS+CHROM),deepfakes,FFpp
462,0,0.6726890313777312,current(POS+CHROM),deepfakes,FFpp
467,0,0.5482238224970102,current(POS+CHROM),deepfakes,FFpp
480,0,0.6644946081791906,current(POS+CHROM),deepfakes,FFpp
485,0,0.23885573772392074,current(POS+CHROM),deepfakes,FFpp
488,0,0.29940561066407345,current(POS+CHROM),deepfakes,FFpp
479,0,0.6937367569102684,current(POS+CHROM),deepfakes,FFpp
494,0,0.4509962477936185,current(POS+CHROM),deepfakes,FFpp
517,0,0.6071008365747206,current(POS+CHROM),deepfakes,FFpp
507,0,0.573480539462629,current(POS+CHROM),deepfakes,FFpp
521,0,0.8526348568555191,current(POS+CHROM),deepfakes,FFpp
527,0,0.30578022401150995,current(POS+CHROM),deepfakes,FFpp
529,0,0.8051322539497454,current(POS+CHROM),deepfakes,FFpp
550,0,0.636560424817821,current(POS+CHROM),deepfakes,FFpp
552,0,0.20910537754057776,current(POS+CHROM),deepfakes,FFpp
579,0,0.3813007845204537,current(POS+CHROM),deepfakes,FFpp
608,0,0.41632266386745825,current(POS+CHROM),deepfakes,FFpp
607,0,0.43643315309956443,current(POS+CHROM),deepfakes,FFpp
623,0,0.6445640122996511,current(POS+CHROM),deepfakes,FFpp
625,0,0.4256985702679793,current(POS+CHROM),deepfakes,FFpp
630,0,0.7165018260057099,current(POS+CHROM),deepfakes,FFpp
633,0,0.4689422525639937,current(POS+CHROM),deepfakes,FFpp
634,0,0.4291778692743123,current(POS+CHROM),deepfakes,FFpp
650,0,0.709677527782109,current(POS+CHROM),deepfakes,FFpp
661,0,0.8132086660382454,current(POS+CHROM),deepfakes,FFpp
669,0,0.7525988212608017,current(POS+CHROM),deepfakes,FFpp
660,0,0.33876603635636315,current(POS+CHROM),deepfakes,FFpp
670,0,0.7606611194594115,current(POS+CHROM),deepfakes,FFpp
675,0,0.6677020621419238,current(POS+CHROM),deepfakes,FFpp
682,0,0.5727604435646191,current(POS+CHROM),deepfakes,FFpp
683,0,0.3944045161546615,current(POS+CHROM),deepfakes,FFpp
691,0,0.3633863671082051,current(POS+CHROM),deepfakes,FFpp
695,0,0.08063136630714227,current(POS+CHROM),deepfakes,FFpp
705,0,0.46624773107054496,current(POS+CHROM),deepfakes,FFpp
707,0,0.6220849051835754,current(POS+CHROM),deepfakes,FFpp
701,0,0.5531780629130209,current(POS+CHROM),deepfakes,FFpp
706,0,0.5057719219487633,current(POS+CHROM),deepfakes,FFpp
714,0,0.49564101926094545,current(POS+CHROM),deepfakes,FFpp
725,0,0.2965195206189639,current(POS+CHROM),deepfakes,FFpp
731,0,0.6003388170392299,current(POS+CHROM),deepfakes,FFpp
732,0,0.3761735234041025,current(POS+CHROM),deepfakes,FFpp
724,0,0.4129186986029441,current(POS+CHROM),deepfakes,FFpp
741,0,0.5121987463347023,current(POS+CHROM),deepfakes,FFpp
739,0,0.2803962311894922,current(POS+CHROM),deepfakes,FFpp
755,0,0.3245443933860922,current(POS+CHROM),deepfakes,FFpp
801,0,0.3158743928959707,current(POS+CHROM),deepfakes,FFpp
812,0,0.35016564661317545,current(POS+CHROM),deepfakes,FFpp
821,0,0.3950988230944127,current(POS+CHROM),deepfakes,FFpp
842,0,0.5880639469842152,current(POS+CHROM),deepfakes,FFpp
847,0,0.4156672288372714,current(POS+CHROM),deepfakes,FFpp
855,0,0.6450261848943171,current(POS+CHROM),deepfakes,FFpp
851,0,0.41682552871901796,current(POS+CHROM),deepfakes,FFpp
868,0,0.35704448694452284,current(POS+CHROM),deepfakes,FFpp
865,0,0.4220944564094502,current(POS+CHROM),deepfakes,FFpp
896,0,0.6631971595560443,current(POS+CHROM),deepfakes,FFpp
906,0,0.5491068755115581,current(POS+CHROM),deepfakes,FFpp
