video,label,dataset,p,n_frames,source
00000,0,celebdf,0.39500847,6,CelebDF
00001,0,celebdf,0.42578205,8,CelebDF
00002,0,celebdf,0.019246265,8,CelebDF
00003,0,celebdf,0.045764152,7,CelebDF
00004,0,celebdf,0.5742438,8,CelebDF
00005,0,celebdf,0.021082452,8,CelebDF
00006,0,celebdf,0.28278607,8,CelebDF
00007,0,celebdf,0.20077844,7,CelebDF
00008,0,celebdf,0.47431344,7,CelebDF
00009,0,celebdf,0.02683136,7,CelebDF
00010,0,celebdf,0.28251117,5,CelebDF
00011,0,celebdf,0.4120669,8,CelebDF
00012,0,celebdf,0.18364936,8,CelebDF
00013,0,celebdf,0.32631597,8,CelebDF
00014,0,celebdf,0.18189965,8,CelebDF
00015,0,celebdf,0.000113004586,8,CelebDF
00016,0,celebdf,0.0038286692,7,CelebDF
00017,0,celebdf,0.00078619673,8,CelebDF
00018,0,celebdf,0.14429857,7,CelebDF
00019,0,celebdf,0.22817391,8,CelebDF
00020,0,celebdf,0.12550597,8,CelebDF
00021,0,celebdf,0.2035216,7,CelebDF
00022,0,celebdf,0.0008771897,8,CelebDF
00023,0,celebdf,0.16734745,8,CelebDF
00024,0,celebdf,0.032888703,8,CelebDF
00025,0,celebdf,0.2522232,8,CelebDF
00026,0,celebdf,0.016515946,8,CelebDF
00027,0,celebdf,0.01773381,8,CelebDF
00028,0,celebdf,0.1706801,5,CelebDF
00029,0,celebdf,0.29778093,7,CelebDF
00030,0,celebdf,0.47064018,8,CelebDF
00031,0,celebdf,0.005123616,8,CelebDF
00032,0,celebdf,0.43552,8,CelebDF
00034,0,celebdf,0.2197242,8,CelebDF
00035,0,celebdf,0.0026347449,8,CelebDF
00036,0,celebdf,0.07751232,7,CelebDF
00037,0,celebdf,0.2926435,8,CelebDF
00038,0,celebdf,0.05618946,8,CelebDF
00039,0,celebdf,0.12634239,7,CelebDF
00040,0,celebdf,0.11503996,8,CelebDF
00041,0,celebdf,0.3337783,7,CelebDF
00042,0,celebdf,0.8011907,6,CelebDF
00043,0,celebdf,0.15258795,8,CelebDF
00044,0,celebdf,0.23455738,8,CelebDF
00045,0,celebdf,0.21877904,6,CelebDF
00046,0,celebdf,0.5085431,8,CelebDF
00047,0,celebdf,0.5462728,7,CelebDF
00048,0,celebdf,0.69300985,8,CelebDF
00049,0,celebdf,0.37088105,8,CelebDF
00050,0,celebdf,0.7979187,7,CelebDF
00051,0,celebdf,0.6480306,8,CelebDF
00052,0,celebdf,0.43707335,8,CelebDF
00053,0,celebdf,0.27406472,7,CelebDF
00054,0,celebdf,0.4214955,8,CelebDF
00055,0,celebdf,0.51206315,8,CelebDF
00056,0,celebdf,6.6845814e-07,8,CelebDF
00057,0,celebdf,0.0932247,8,CelebDF
00058,0,celebdf,0.83917856,8,CelebDF
00059,0,celebdf,0.0061242236,8,CelebDF
00060,0,celebdf,0.15975533,7,CelebDF
00061,0,celebdf,0.019685911,4,CelebDF
00062,0,celebdf,0.19218703,6,CelebDF
00063,0,celebdf,0.41851854,3,CelebDF
00064,0,celebdf,1.6667385e-05,8,CelebDF
00065,0,celebdf,0.50938755,8,CelebDF
00066,0,celebdf,0.7283603,8,CelebDF
00067,0,celebdf,0.51082486,7,CelebDF
00068,0,celebdf,0.27804747,8,CelebDF
00069,0,celebdf,0.31336084,5,CelebDF
00070,0,celebdf,0.31085068,8,CelebDF
00071,0,celebdf,0.27070773,6,CelebDF
00072,0,celebdf,0.4381709,7,CelebDF
00073,0,celebdf,0.14209734,8,CelebDF
00075,0,celebdf,0.47720677,8,CelebDF
00076,0,celebdf,0.03145022,7,CelebDF
00077,0,celebdf,0.022223165,8,CelebDF
00078,0,celebdf,0.28978902,8,CelebDF
00079,0,celebdf,0.39076704,7,CelebDF
00080,0,celebdf,0.118826106,8,CelebDF
00081,0,celebdf,0.28684384,7,CelebDF
00082,0,celebdf,0.5567172,8,CelebDF
00083,0,celebdf,0.4816388,8,CelebDF
00084,0,celebdf,0.4527421,7,CelebDF
00085,0,celebdf,0.24182838,6,CelebDF
00086,0,celebdf,0.35350904,8,CelebDF
00087,0,celebdf,0.18320404,7,CelebDF
00088,0,celebdf,0.8319877,8,CelebDF
00089,0,celebdf,0.29523253,8,CelebDF
00090,0,celebdf,0.045326825,8,CelebDF
00091,0,celebdf,0.86719835,8,CelebDF
00092,0,celebdf,0.04898109,6,CelebDF
00094,0,celebdf,0.25934958,8,CelebDF
00095,0,celebdf,0.7640402,8,CelebDF
00096,0,celebdf,0.027196428,7,CelebDF
00097,0,celebdf,0.16373205,8,CelebDF
00098,0,celebdf,0.00012013639,8,CelebDF
00099,0,celebdf,0.0009516553,8,CelebDF
00100,0,celebdf,0.18691684,8,CelebDF
00101,0,celebdf,0.023428269,8,CelebDF
00102,0,celebdf,0.243944,8,CelebDF
00103,0,celebdf,0.14993459,8,CelebDF
00104,0,celebdf,0.005412175,8,CelebDF
00105,0,celebdf,0.045856535,4,CelebDF
00106,0,celebdf,0.7628783,8,CelebDF
00107,0,celebdf,0.8622635,8,CelebDF
00108,0,celebdf,0.9770519,8,CelebDF
00109,0,celebdf,0.033169486,6,CelebDF
00110,0,celebdf,0.7154075,8,CelebDF
00111,0,celebdf,0.09204336,8,CelebDF
00112,0,celebdf,0.6741908,8,CelebDF
00113,0,celebdf,0.16045447,8,CelebDF
00114,0,celebdf,6.231066e-05,8,CelebDF
00115,0,celebdf,0.0006452208,8,CelebDF
00116,0,celebdf,0.36796305,7,CelebDF
00117,0,celebdf,0.3263203,8,CelebDF
00118,0,celebdf,0.48611155,8,CelebDF
00119,0,celebdf,0.48067278,8,CelebDF
00120,0,celebdf,0.037655998,7,CelebDF
00121,0,celebdf,0.15794474,8,CelebDF
00122,0,celebdf,0.051604595,8,CelebDF
00123,0,celebdf,2.9719624e-06,8,CelebDF
