table,cell,old_value,new_value,abs_delta,signed_delta,changed,reason
Table 4,median [51-D] / deepfakes,0.9771,0.9733,0.0038,-0.0038,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,median [51-D] / face2face,0.8174,0.8036,0.0138,-0.0138,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,median [51-D] / faceswap,0.9637,0.9587,0.005,-0.005,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,median [51-D] / neuraltextures,0.796,0.784,0.012,-0.012,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,median [51-D] / mean,0.8886,0.8799,0.0087,-0.0087,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,gaussian [51-D] / deepfakes,0.9729,0.9711,0.0018,-0.0018,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,gaussian [51-D] / face2face,0.8297,0.8178,0.0119,-0.0119,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,gaussian [51-D] / faceswap,0.9695,0.9632,0.0063,-0.0063,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,gaussian [51-D] / neuraltextures,0.8056,0.7867,0.0189,-0.0189,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,gaussian [51-D] / mean,0.8944,0.8847,0.0097,-0.0097,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,wavelet [51-D] / deepfakes,0.974,0.9693,0.0047,-0.0047,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,wavelet [51-D] / face2face,0.8308,0.8114,0.0194,-0.0194,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,wavelet [51-D] / faceswap,0.9682,0.9671,0.0011,-0.0011,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,wavelet [51-D] / neuraltextures,0.7887,0.7814,0.0073,-0.0073,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,wavelet [51-D] / mean,0.8904,0.8823,0.0081,-0.0081,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,current_50D_ref [50-D] / deepfakes,0.9752,0.9706,0.0046,-0.0046,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,current_50D_ref [50-D] / face2face,0.8255,0.8096,0.0159,-0.0159,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,current_50D_ref [50-D] / faceswap,0.9689,0.9631,0.0058,-0.0058,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,current_50D_ref [50-D] / neuraltextures,0.8039,0.7867,0.0172,-0.0172,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 4,current_50D_ref [50-D] / mean,0.8934,0.8825,0.0109,-0.0109,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,current(POS+CHROM) / overall,0.4782,0.4697,0.0085,-0.0085,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,current(POS+CHROM) / c23,0.4792,0.456,0.0232,-0.0232,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,current(POS+CHROM) / c40,0.478,0.4827,0.0047,0.0047,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,current(POS+CHROM) / low_motion,0.4939,0.4904,0.0035,-0.0035,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,current(POS+CHROM) / high_motion,0.4649,0.4543,0.0106,-0.0106,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,current(POS+CHROM) / low_illum,0.4711,0.4731,0.002,0.002,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,current(POS+CHROM) / high_illum,0.4845,0.4674,0.0171,-0.0171,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,current(POS+CHROM) / short_seq,0.5004,0.4883,0.0121,-0.0121,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,current(POS+CHROM) / long_seq,0.4627,0.4586,0.0041,-0.0041,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,POS / overall,0.5178,0.5152,0.0026,-0.0026,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,POS / c23,0.5464,0.5498,0.0034,0.0034,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,POS / c40,0.4913,0.4843,0.007,-0.007,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,POS / low_motion,0.5715,0.5286,0.0429,-0.0429,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,POS / high_motion,0.4753,0.5068,0.0315,0.0315,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,POS / low_illum,0.5068,0.5094,0.0026,0.0026,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,POS / high_illum,0.5272,0.5206,0.0066,-0.0066,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,POS / short_seq,0.5331,0.5332,0.0001,0.0001,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,POS / long_seq,0.5098,0.5059,0.0039,-0.0039,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
