dataset,descriptor,family,miss_rate_real,miss_rate_fake
FFpp_c23_deepfakes,s_benford_dev,codec_dependent,0.0,0.0
FFpp_c23_deepfakes,s_block_artifact,codec_dependent,0.0,0.0
FFpp_c23_deepfakes,s_blur_mag,spatial_other,0.0,0.0
FFpp_c23_deepfakes,s_dbl_compress,codec_dependent,0.0,0.0
FFpp_c23_deepfakes,s_face_bg_diff,background_dependent,0.0,0.0
FFpp_c23_deepfakes,s_flow_dir_consist,spatial_other,0.0,0.0
FFpp_c23_deepfakes,s_flow_mag,spatial_other,0.0,0.0
FFpp_c23_deepfakes,s_noise_hf_ratio,spatial_other,0.0,0.0
FFpp_c23_deepfakes,s_noise_res_std,spatial_other,0.0,0.0
FFpp_c23_deepfakes,s_noise_vmr,spatial_other,0.0,0.0
FFpp_c23_deepfakes,s_prnu_energy,spatial_other,0.0,0.0
FFpp_c23_deepfakes,s_prnu_face_periph,background_dependent,0.0,0.0
FFpp_c23_deepfakes,s_shadow_score,spatial_other,0.0,0.0
FFpp_c23_deepfakes,t_blink_duration,temporal_other,0.1567,0.3534
FFpp_c23_deepfakes,t_blink_rate,temporal_other,0.1567,0.3534
FFpp_c23_deepfakes,t_blink_symmetry,temporal_other,0.0,0.0
FFpp_c23_deepfakes,t_boundary_color_disc,background_dependent,0.0,0.0
FFpp_c23_deepfakes,t_boundary_freq_leakage,background_dependent,0.0,0.0
FFpp_c23_deepfakes,t_boundary_grad_temporal,background_dependent,0.0,0.0
FFpp_c23_deepfakes,t_coupling_consistency,temporal_other,0.0,0.0
FFpp_c23_deepfakes,t_dct_temporal_autocorr,temporal_other,0.0,0.0
FFpp_c23_deepfakes,t_dct_temporal_std,temporal_other,0.0,0.0
FFpp_c23_deepfakes,t_face_ssim_mean,temporal_other,0.0,0.0
FFpp_c23_deepfakes,t_face_ssim_min,temporal_other,0.0,0.0
FFpp_c23_deepfakes,t_face_ssim_std,temporal_other,0.0,0.0
FFpp_c23_deepfakes,t_interpupillary_std,temporal_other,0.0,0.0
FFpp_c23_deepfakes,t_jaw_chin_rigidity,temporal_other,0.0,0.0
