descriptor,computed,undefined_frames,unreliable_substrate,available_pct
s_benford_dev,0.0,0.0,1.0,0.0
s_block_artifact,0.0,0.0,1.0,0.0
s_blur_mag,1.0,0.0,0.0,100.0
s_dbl_compress,0.0,0.0,1.0,0.0
s_face_bg_diff,0.0,0.0,1.0,0.0
s_flow_dir_consist,1.0,0.0,0.0,100.0
s_flow_mag,1.0,0.0,0.0,100.0
s_noise_hf_ratio,1.0,0.0,0.0,100.0
s_noise_res_std,1.0,0.0,0.0,100.0
s_noise_vmr,1.0,0.0,0.0,100.0
s_prnu_energy,1.0,0.0,0.0,100.0
s_prnu_face_periph,0.0,0.0,1.0,0.0
s_shadow_score,1.0,0.0,0.0,100.0
t_blink_duration,0.8548387096774194,0.14516129032258066,0.0,85.5
t_blink_rate,0.8548387096774194,0.14516129032258066,0.0,85.5
t_blink_symmetry,0.8548387096774194,0.14516129032258066,0.0,85.5
t_boundary_color_disc,0.0,0.14516129032258066,0.8548387096774194,0.0
t_boundary_freq_leakage,0.0,0.14516129032258066,0.8548387096774194,0.0
t_boundary_grad_temporal,0.0,0.14516129032258066,0.8548387096774194,0.0
t_coupling_consistency,0.8548387096774194,0.14516129032258066,0.0,85.5
t_dct_temporal_autocorr,0.8548387096774194,0.14516129032258066,0.0,85.5
t_dct_temporal_std,0.8548387096774194,0.14516129032258066,0.0,85.5
t_face_ssim_mean,0.8548387096774194,0.14516129032258066,0.0,85.5
t_face_ssim_min,0.8548387096774194,0.14516129032258066,0.0,85.5
t_face_ssim_std,0.8548387096774194,0.14516129032258066,0.0,85.5
t_interpupillary_std,0.8548387096774194,0.14516129032258066,0.0,85.5
t_jaw_chin_rigidity,0.8548387096774194,0.14516129032258066,0.0,85.5
t_landmark_accel_var,0.8548387096774194,0.14516129032258066,0.0,85.5
t_landmark_jitter,0.8548387096774194,0.14516129032258066,0.0,85.5
t_landmark_velocity_autocorr,0.8548387096774194,0.14516129032258066,0.0,85.5
t_motion_blur_coupling,0.8548387096774194,0.14516129032258066,0.0,85.5
t_noise_corr_std,0.8548387096774194,0.14516129032258066,0.0,85.5
t_noise_spectral_entropy,0.8548387096774194,0.14516129032258066,0.0,85.5
t_noise_temporal_corr,0.8548387096774194,0.14516129032258066,0.0,85.5
t_nose_bridge_std,0.8548387096774194,0.14516129032258066,0.0,85.5
t_prnu_face_vs_bg,0.0,0.14516129032258066,0.8548387096774194,0.0
t_prnu_temporal_stability,0.8548387096774194,0.14516129032258066,0.0,85.5
t_residual_entropy,0.0,0.14516129032258066,0.8548387096774194,0.0
t_residual_flow_corr,0.0,0.14516129032258066,0.8548387096774194,0.0
t_rigid_dist_var,0.8548387096774194,0.14516129032258066,0.0,85.5
t_rppg_harmonic_ratio,0.1774193548387097,0.8225806451612904,0.0,17.7
t_rppg_interregion_corr,0.1774193548387097,0.8225806451612904,0.0,17.7
t_rppg_peak_prominence,0.1774193548387097,0.8225806451612904,0.0,17.7
t_rppg_snr,0.1774193548387097,0.8225806451612904,0.0,17.7
t_skin_bg_decorrelation,0.0,0.14516129032258066,0.8548387096774194,0.0
t_skin_color_jitter,0.8548387096774194,0.14516129032258066,0.0,85.5
t_skin_texture_corr,0.8548387096774194,0.14516129032258066,0.0,85.5
t_specular_stability,0.8548387096774194,0.14516129032258066,0.0,85.5
t_specular_symmetry,0.8548387096774194,0.14516129032258066,0.0,85.5
t_texture_warp_residual,0.8548387096774194,0.14516129032258066,0.0,85.5
