manipulation,group,n_group_features,full_auc,loGo_auc,delta_auc,n_test
deepfakes,P1_noise,3,0.9706,0.9717,-0.0011,267
deepfakes,P2_prnu,2,0.9706,0.9723,-0.0017,267
deepfakes,P4_shadow,2,0.9706,0.9713,-0.0007,267
deepfakes,P6_compression,3,0.9706,0.9702,0.0004,267
deepfakes,P8_blur,1,0.9706,0.971,-0.0004,267
deepfakes,P9_flow,2,0.9706,0.9728,-0.0022,267
deepfakes,T1_temporal_noise,3,0.9706,0.9694,0.0012,267
deepfakes,T2_rppg,4,0.9706,0.9723,-0.0017,267
deepfakes,T3_temporal_prnu,2,0.9706,0.9713,-0.0007,267
deepfakes,T4_face_ssim,3,0.9706,0.9719,-0.0013,267
deepfakes,T5_codec_residual,2,0.9706,0.969,0.0016,267
deepfakes,T6_landmark_traj,4,0.9706,0.9716,-0.001,267
deepfakes,T7_rigid_geometry,3,0.9706,0.9548,0.0158,267
deepfakes,T8_face_bg_edge,3,0.9706,0.975,-0.0044,267
deepfakes,T9_skin_texture,2,0.9706,0.975,-0.0044,267
deepfakes,T10_color_transfer,2,0.9706,0.9591,0.0115,267
deepfakes,T11_specular,2,0.9706,0.971,-0.0004,267
deepfakes,T12_blink,3,0.9706,0.969,0.0016,267
deepfakes,T13_motion_blur_coupling,2,0.9706,0.9708,-0.0002,267
deepfakes,T14_dct_temporal,2,0.9706,0.9693,0.0013,267
face2face,P1_noise,3,0.8096,0.8048,0.0048,268
face2face,P2_prnu,2,0.8096,0.8176,-0.008,268
face2face,P4_shadow,2,0.8096,0.8208,-0.0112,268
face2face,P6_compression,3,0.8096,0.8181,-0.0085,268
face2face,P8_blur,1,0.8096,0.8158,-0.0062,268
face2face,P9_flow,2,0.8096,0.8061,0.0035,268
face2face,T1_temporal_noise,3,0.8096,0.8132,-0.0036,268
face2face,T2_rppg,4,0.8096,0.8128,-0.0032,268
face2face,T3_temporal_prnu,2,0.8096,0.8175,-0.0079,268
face2face,T4_face_ssim,3,0.8096,0.8138,-0.0042,268
face2face,T5_codec_residual,2,0.8096,0.8102,-0.0006,268
face2face,T6_landmark_traj,4,0.8096,0.8188,-0.0092,268
face2face,T7_rigid_geometry,3,0.8096,0.8098,-0.0002,268
face2face,T8_face_bg_edge,3,0.8096,0.82,-0.0104,268
face2face,T9_skin_texture,2,0.8096,0.8028,0.0068,268
face2face,T10_color_transfer,2,0.8096,0.8111,-0.0016,268
face2face,T11_specular,2,0.8096,0.815,-0.0055,268
face2face,T12_blink,3,0.8096,0.8099,-0.0003,268
face2face,T13_motion_blur_coupling,2,0.8096,0.7966,0.013,268
face2face,T14_dct_temporal,2,0.8096,0.8164,-0.0068,268
faceswap,P1_noise,3,0.9631,0.9357,0.0274,269
faceswap,P2_prnu,2,0.9631,0.9618,0.0013,269
faceswap,P4_shadow,2,0.9631,0.9639,-0.0008,269
faceswap,P6_compression,3,0.9631,0.962,0.0012,269
faceswap,P8_blur,1,0.9631,0.9619,0.0013,269
faceswap,P9_flow,2,0.9631,0.9666,-0.0034,269
faceswap,T1_temporal_noise,3,0.9631,0.9646,-0.0015,269
faceswap,T2_rppg,4,0.9631,0.9645,-0.0013,269
faceswap,T3_temporal_prnu,2,0.9631,0.9614,0.0018,269
faceswap,T4_face_ssim,3,0.9631,0.96,0.0032,269
faceswap,T5_codec_residual,2,0.9631,0.9559,0.0072,269
faceswap,T6_landmark_traj,4,0.9631,0.9591,0.004,269
faceswap,T7_rigid_geometry,3,0.9631,0.9623,0.0008,269
faceswap,T8_face_bg_edge,3,0.9631,0.9617,0.0014,269
faceswap,T9_skin_texture,2,0.9631,0.9621,0.001,269
faceswap,T10_color_transfer,2,0.9631,0.964,-0.0008,269
faceswap,T11_specular,2,0.9631,0.9614,0.0017,269
faceswap,T12_blink,3,0.9631,0.9399,0.0233,269
faceswap,T13_motion_blur_coupling,2,0.9631,0.9613,0.0018,269
faceswap,T14_dct_temporal,2,0.9631,0.9636,-0.0004,269
neuraltextures,P1_noise,3,0.7867,0.7605,0.0262,269
neuraltextures,P2_prnu,2,0.7867,0.7803,0.0064,269
neuraltextures,P4_shadow,2,0.7867,0.784,0.0028,269
neuraltextures,P6_compression,3,0.7867,0.786,0.0007,269
neuraltextures,P8_blur,1,0.7867,0.7899,-0.0032,269
neuraltextures,P9_flow,2,0.7867,0.7692,0.0176,269
neuraltextures,T1_temporal_noise,3,0.7867,0.7887,-0.002,269
neuraltextures,T2_rppg,4,0.7867,0.796,-0.0092,269
neuraltextures,T3_temporal_prnu,2,0.7867,0.783,0.0037,269
neuraltextures,T4_face_ssim,3,0.7867,0.7986,-0.0118,269
neuraltextures,T5_codec_residual,2,0.7867,0.7771,0.0096,269
neuraltextures,T6_landmark_traj,4,0.7867,0.7943,-0.0075,269
neuraltextures,T7_rigid_geometry,3,0.7867,0.7926,-0.0059,269
neuraltextures,T8_face_bg_edge,3,0.7867,0.7922,-0.0055,269
neuraltextures,T9_skin_texture,2,0.7867,0.787,-0.0002,269
neuraltextures,T10_color_transfer,2,0.7867,0.793,-0.0062,269
neuraltextures,T11_specular,2,0.7867,0.7883,-0.0015,269
neuraltextures,T12_blink,3,0.7867,0.7893,-0.0025,269
neuraltextures,T13_motion_blur_coupling,2,0.7867,0.7804,0.0064,269
neuraltextures,T14_dct_temporal,2,0.7867,0.783,0.0038,269
