dataset,pillar,full_auc,loGo_auc,delta,z,p_value,p_holm
Deepfakes,P1_noise,0.9706,0.9717,-0.0011,-0.519,0.6037772791693619,1.0
Deepfakes,P2_prnu,0.9706,0.9723,-0.0017,-0.743,0.4575424126269927,1.0
Deepfakes,P4_shadow,0.9706,0.9713,-0.0007,-0.501,0.6161629781575821,1.0
Deepfakes,P6_compression,0.9706,0.9702,0.0004,0.212,0.831737813097746,1.0
Deepfakes,P8_blur,0.9706,0.971,-0.0004,-0.203,0.8394783493947411,1.0
Deepfakes,P9_flow,0.9706,0.9728,-0.0022,-1.34,0.18037281691215767,1.0
Deepfakes,T1_temporal_noise,0.9706,0.9694,0.0012,0.774,0.4391727074230274,1.0
Deepfakes,T2_rppg,0.9706,0.9723,-0.0017,-1.169,0.24228515435750908,1.0
Deepfakes,T3_temporal_prnu,0.9706,0.9713,-0.0007,-0.279,0.7798791992198244,1.0
Deepfakes,T4_face_ssim,0.9706,0.9719,-0.0013,-0.827,0.4083592886520484,1.0
Deepfakes,T5_codec_residual,0.9706,0.969,0.0016,0.651,0.5148177228913196,1.0
Deepfakes,T6_landmark_traj,0.9706,0.9716,-0.001,-0.46,0.6452862637633321,1.0
Deepfakes,T7_rigid_geometry,0.9706,0.9548,0.0158,1.942,0.05210552613849284,1.0
Deepfakes,T8_face_bg_edge,0.9706,0.975,-0.0044,-1.712,0.0869459117419975,1.0
Deepfakes,T9_skin_texture,0.9706,0.975,-0.0044,-0.915,0.36019187629010085,1.0
Deepfakes,T10_color_transfer,0.9706,0.9591,0.0115,1.701,0.08895165208473643,1.0
Deepfakes,T11_specular,0.9706,0.971,-0.0004,-0.214,0.8303367758863329,1.0
Deepfakes,T12_blink,0.9706,0.969,0.0016,0.584,0.5591104433502152,1.0
Deepfakes,T13_motion_blur_coupling,0.9706,0.9708,-0.0002,-0.081,0.9353095192792953,1.0
Deepfakes,T14_dct_temporal,0.9706,0.9693,0.0013,0.566,0.5712953789768611,1.0
Face2Face,P1_noise,0.8096,0.8048,0.0048,0.537,0.5914373977757341,1.0
Face2Face,P2_prnu,0.8096,0.8176,-0.008,-1.209,0.22669534007035397,1.0
Face2Face,P4_shadow,0.8096,0.8208,-0.0112,-1.574,0.11557033607865996,1.0
Face2Face,P6_compression,0.8096,0.8181,-0.0085,-1.219,0.22267937436293073,1.0
Face2Face,P8_blur,0.8096,0.8158,-0.0062,-0.883,0.37718208720024515,1.0
Face2Face,P9_flow,0.8096,0.8061,0.0035,0.391,0.6960085262599753,1.0
Face2Face,T1_temporal_noise,0.8096,0.8132,-0.0036,-0.517,0.6050185391111285,1.0
Face2Face,T2_rppg,0.8096,0.8128,-0.0032,-0.227,0.8204803660361712,1.0
Face2Face,T3_temporal_prnu,0.8096,0.8175,-0.0079,-0.972,0.3308892437893671,1.0
Face2Face,T4_face_ssim,0.8096,0.8138,-0.0042,-0.505,0.6138114507813526,1.0
Face2Face,T5_codec_residual,0.8096,0.8102,-0.0006,-0.066,0.9471338195706698,1.0
Face2Face,T6_landmark_traj,0.8096,0.8188,-0.0092,-1.046,0.2957834869954421,1.0
Face2Face,T7_rigid_geometry,0.8096,0.8098,-0.0002,-0.015,0.9877858041248071,1.0
Face2Face,T8_face_bg_edge,0.8096,0.82,-0.0104,-1.327,0.1846645757885952,1.0
Face2Face,T9_skin_texture,0.8096,0.8028,0.0068,0.69,0.4901439204731193,1.0
