dataset,pillar,n_feats,pillar_only_auc,ci_lo,ci_hi,full50_auc
Deepfakes,P1_noise,3,0.7299,0.6712,0.7878,0.9706
Deepfakes,P2_prnu,2,0.7068,0.6443,0.7712,0.9706
Deepfakes,P4_shadow,2,0.4575,0.3855,0.5306,0.9706
Deepfakes,P6_compression,3,0.5533,0.4807,0.6167,0.9706
Deepfakes,P8_blur,1,0.4901,0.419,0.5579,0.9706
Deepfakes,P9_flow,2,0.5458,0.4773,0.6129,0.9706
Deepfakes,T1_temporal_noise,3,0.6145,0.5432,0.6796,0.9706
Deepfakes,T2_rppg,4,0.5443,0.4736,0.615,0.9706
Deepfakes,T3_temporal_prnu,2,0.5364,0.4663,0.6054,0.9706
Deepfakes,T4_face_ssim,3,0.53,0.4592,0.5976,0.9706
Deepfakes,T5_codec_residual,2,0.7252,0.6605,0.7843,0.9706
Deepfakes,T6_landmark_traj,4,0.4909,0.4192,0.5587,0.9706
Deepfakes,T7_rigid_geometry,3,0.8188,0.7609,0.8654,0.9706
Deepfakes,T8_face_bg_edge,3,0.5933,0.5241,0.6629,0.9706
Deepfakes,T9_skin_texture,2,0.6965,0.6314,0.7558,0.9706
Deepfakes,T10_color_transfer,2,0.7408,0.6824,0.7992,0.9706
Deepfakes,T11_specular,2,0.5776,0.5128,0.6454,0.9706
Deepfakes,T12_blink,3,0.7013,0.6354,0.7619,0.9706
Deepfakes,T13_motion_blur_coupling,2,0.6782,0.614,0.7376,0.9706
Deepfakes,T14_dct_temporal,2,0.6585,0.5904,0.7209,0.9706
Face2Face,P1_noise,3,0.5994,0.5301,0.6637,0.8096
Face2Face,P2_prnu,2,0.5104,0.4386,0.579,0.8096
Face2Face,P4_shadow,2,0.5035,0.4327,0.572,0.8096
Face2Face,P6_compression,3,0.5096,0.4384,0.5767,0.8096
Face2Face,P8_blur,1,0.4773,0.4108,0.5468,0.8096
Face2Face,P9_flow,2,0.4988,0.4295,0.5659,0.8096
Face2Face,T1_temporal_noise,3,0.5456,0.4764,0.6149,0.8096
Face2Face,T2_rppg,4,0.623,0.557,0.6886,0.8096
Face2Face,T3_temporal_prnu,2,0.4762,0.4063,0.5457,0.8096
Face2Face,T4_face_ssim,3,0.5789,0.5108,0.6439,0.8096
Face2Face,T5_codec_residual,2,0.5467,0.4791,0.6146,0.8096
Face2Face,T6_landmark_traj,4,0.5684,0.5002,0.6366,0.8096
Face2Face,T7_rigid_geometry,3,0.631,0.5653,0.6935,0.8096
Face2Face,T8_face_bg_edge,3,0.4867,0.4189,0.5526,0.8096
Face2Face,T9_skin_texture,2,0.5843,0.5108,0.6502,0.8096
Face2Face,T10_color_transfer,2,0.5478,0.4773,0.6139,0.8096
Face2Face,T11_specular,2,0.5255,0.459,0.588,0.8096
Face2Face,T12_blink,3,0.4808,0.4087,0.5488,0.8096
Face2Face,T13_motion_blur_coupling,2,0.6717,0.6095,0.7328,0.8096
Face2Face,T14_dct_temporal,2,0.5392,0.4707,0.6086,0.8096
FaceSwap,P1_noise,3,0.8621,0.8144,0.9052,0.9631
FaceSwap,P2_prnu,2,0.5645,0.4985,0.6329,0.9631
FaceSwap,P4_shadow,2,0.5625,0.4934,0.6343,0.9631
FaceSwap,P6_compression,3,0.5119,0.4432,0.5845,0.9631
FaceSwap,P8_blur,1,0.5004,0.4341,0.577,0.9631
FaceSwap,P9_flow,2,0.5539,0.4865,0.6223,0.9631
FaceSwap,T1_temporal_noise,3,0.6639,0.5953,0.7236,0.9631
FaceSwap,T2_rppg,4,0.5337,0.465,0.6061,0.9631
FaceSwap,T3_temporal_prnu,2,0.5369,0.4647,0.6038,0.9631
FaceSwap,T4_face_ssim,3,0.6832,0.617,0.7452,0.9631
FaceSwap,T5_codec_residual,2,0.5495,0.4786,0.6175,0.9631
FaceSwap,T6_landmark_traj,4,0.6417,0.5733,0.7086,0.9631
FaceSwap,T7_rigid_geometry,3,0.5522,0.4827,0.6232,0.9631
FaceSwap,T8_face_bg_edge,3,0.5224,0.4533,0.5906,0.9631
FaceSwap,T9_skin_texture,2,0.5878,0.5196,0.6543,0.9631
FaceSwap,T10_color_transfer,2,0.4988,0.434,0.5683,0.9631
FaceSwap,T11_specular,2,0.5125,0.443,0.5819,0.9631
FaceSwap,T12_blink,3,0.7943,0.7392,0.8477,0.9631
FaceSwap,T13_motion_blur_coupling,2,0.7312,0.6705,0.7918,0.9631
FaceSwap,T14_dct_temporal,2,0.5905,0.5167,0.6606,0.9631
NeuralTextures,P1_noise,3,0.7154,0.6553,0.7741,0.7867
NeuralTextures,P2_prnu,2,0.6059,0.5363,0.67,0.7867
NeuralTextures,P4_shadow,2,0.4954,0.4245,0.5599,0.7867
NeuralTextures,P6_compression,3,0.5381,0.4702,0.6064,0.7867
NeuralTextures,P8_blur,1,0.47,0.3978,0.5403,0.7867
NeuralTextures,P9_flow,2,0.5905,0.5212,0.6553,0.7867
NeuralTextures,T1_temporal_noise,3,0.6009,0.529,0.6696,0.7867
NeuralTextures,T2_rppg,4,0.5457,0.4751,0.6139,0.7867
NeuralTextures,T3_temporal_prnu,2,0.5231,0.4479,0.5927,0.7867
NeuralTextures,T4_face_ssim,3,0.6253,0.5599,0.6959,0.7867
NeuralTextures,T5_codec_residual,2,0.58,0.51,0.6506,0.7867
NeuralTextures,T6_landmark_traj,4,0.6394,0.569,0.7051,0.7867
NeuralTextures,T7_rigid_geometry,3,0.5258,0.4575,0.5973,0.7867
NeuralTextures,T8_face_bg_edge,3,0.5195,0.4502,0.5905,0.7867
NeuralTextures,T9_skin_texture,2,0.5989,0.5307,0.6681,0.7867
NeuralTextures,T10_color_transfer,2,0.58,0.515,0.6454,0.7867
NeuralTextures,T11_specular,2,0.5239,0.459,0.5972,0.7867
NeuralTextures,T12_blink,3,0.5378,0.4684,0.6079,0.7867
NeuralTextures,T13_motion_blur_coupling,2,0.5431,0.4746,0.6154,0.7867
NeuralTextures,T14_dct_temporal,2,0.5754,0.5093,0.6424,0.7867
CelebDF,P1_noise,3,0.56,0.5383,0.5806,0.6322
CelebDF,P2_prnu,2,0.552,0.5311,0.573,0.6322
CelebDF,P4_shadow,2,0.5069,0.4856,0.5275,0.6322
CelebDF,P6_compression,3,0.5113,0.4909,0.5329,0.6322
CelebDF,P8_blur,1,0.4961,0.475,0.5173,0.6322
CelebDF,P9_flow,2,0.5089,0.4879,0.5313,0.6322
CelebDF,T1_temporal_noise,3,0.5142,0.4926,0.5355,0.6322
CelebDF,T2_rppg,4,0.4933,0.4719,0.5149,0.6322
CelebDF,T3_temporal_prnu,2,0.5303,0.5102,0.5523,0.6322
CelebDF,T4_face_ssim,3,0.5469,0.5238,0.5691,0.6322
CelebDF,T5_codec_residual,2,0.5073,0.4857,0.5295,0.6322
CelebDF,T6_landmark_traj,4,0.5155,0.4941,0.5387,0.6322
CelebDF,T7_rigid_geometry,3,0.5573,0.5339,0.5801,0.6322
CelebDF,T8_face_bg_edge,3,0.5088,0.4891,0.5289,0.6322
CelebDF,T9_skin_texture,2,0.4819,0.4602,0.5041,0.6322
CelebDF,T10_color_transfer,2,0.4906,0.4688,0.5126,0.6322
CelebDF,T11_specular,2,0.5015,0.4808,0.523,0.6322
CelebDF,T12_blink,3,0.5211,0.5007,0.5413,0.6322
CelebDF,T13_motion_blur_coupling,2,0.5432,0.5206,0.5645,0.6322
CelebDF,T14_dct_temporal,2,0.547,0.5262,0.5688,0.6322
