video,dataset,comp,duration_s,frames,total_extract_s,frame_load_s,mediapipe_s,optical_flow_s,rppg_s,other_s,peak_ram_mb,cpu_time_s,rtf
507.mp4,real,c23,19.54,469,174.563,3.787,2.972,5.205,10.609,151.989,10653.1,275.41,8.933
895.mp4,real,c23,11.76,294,31.523,0.624,2.046,0.78,3.141,24.932,2065.8,43.29,2.681
922.mp4,real,c23,24.64,616,25.397,1.021,2.091,0.537,2.455,19.294,1580.4,33.8,1.031
483.mp4,real,c23,12.5,375,66.759,1.487,2.165,1.76,5.473,55.874,4738.0,103.67,5.341
085.mp4,real,c23,13.16,329,25.611,0.547,2.995,0.546,2.178,19.346,1580.4,32.85,1.946
750.mp4,real,c23,14.7,441,170.107,3.305,2.318,5.052,10.385,149.046,10658.6,270.61,11.572
354.mp4,real,c23,15.33,460,64.13,1.409,2.26,1.738,5.361,53.363,4737.7,101.41,4.182
523.mp4,real,c23,15.0,375,31.314,0.678,2.199,0.743,2.878,24.815,2108.2,42.21,2.088
606.mp4,real,c40,15.48,387,30.34,0.621,2.197,0.711,2.449,24.362,2093.6,40.72,1.96
998.mp4,real,c40,11.47,344,68.209,1.365,2.736,1.724,5.356,57.028,4737.7,104.82,5.948
471.mp4,real,c40,21.6,540,24.145,0.476,2.203,0.548,2.183,18.736,1580.3,31.09,1.118
699.mp4,real,c40,20.96,524,22.479,0.443,2.131,0.501,2.161,17.242,1481.6,28.38,1.072
701.mp4,real,c40,13.1,393,169.561,3.038,2.562,4.856,10.526,148.579,10657.7,256.58,12.944
091.mp4,real,c40,21.3,639,26.662,0.964,2.836,0.557,2.409,19.897,1624.7,34.36,1.252
633.mp4,real,c40,17.07,512,66.667,1.377,2.282,1.789,5.328,55.89,4737.2,104.76,3.906
059.mp4,real,c40,28.84,721,24.385,0.931,2.141,0.539,2.325,18.448,1580.2,31.91,0.846
201.mp4,real,c40,34.52,863,26.141,0.949,2.226,0.555,2.424,19.987,1619.7,33.95,0.757
320.mp4,real,c40,16.8,504,65.453,1.387,2.37,1.771,5.803,54.122,4735.9,103.11,3.896
385_414.mp4,deepfakes,c23,11.63,349,69.59,1.446,2.791,1.803,5.356,58.193,4736.9,107.0,5.982
913_893.mp4,deepfakes,c23,21.13,634,24.854,0.987,2.201,0.53,2.303,18.834,1560.6,32.7,1.176
027_009.mp4,deepfakes,c23,10.5,315,25.157,0.593,2.355,0.546,2.244,19.418,1580.1,32.37,2.396
874_291.mp4,deepfakes,c23,15.63,469,168.705,3.153,2.578,5.113,10.511,147.35,10657.0,256.52,10.791
685_613.mp4,deepfakes,c23,20.88,522,68.728,1.479,2.768,1.745,5.271,57.465,4737.1,105.63,3.292
675_608.mp4,deepfakes,c23,16.84,421,23.288,0.476,2.112,0.52,2.333,17.847,1481.7,29.63,1.383
954_976.mp4,deepfakes,c23,15.04,376,23.747,0.518,2.084,0.53,2.454,18.16,1580.4,31.8,1.579
848_894.mp4,deepfakes,c40,14.4,360,163.707,3.055,2.513,5.017,10.311,142.811,10658.1,250.3,11.369
603_575.mp4,deepfakes,c40,11.84,296,68.434,1.297,2.184,1.939,5.198,57.816,4673.1,104.33,5.78
185_276.mp4,deepfakes,c40,35.0,875,31.62,1.226,2.811,0.728,2.697,24.158,2108.0,42.34,0.903
123_119.mp4,deepfakes,c40,17.13,514,24.536,0.457,2.183,0.543,2.399,18.954,1580.3,32.02,1.432
194_235.mp4,deepfakes,c40,22.68,567,24.645,0.491,2.18,0.54,2.427,19.007,1580.2,32.18,1.087
218_239.mp4,deepfakes,c40,14.12,353,23.797,0.443,2.134,0.523,2.224,18.473,1580.0,30.8,1.685
801_855.mp4,deepfakes,c40,17.76,444,24.687,0.491,2.369,0.527,2.205,19.095,1580.3,31.62,1.39
851_552.mp4,deepfakes,c40,34.71,833,70.539,2.639,2.273,1.781,7.523,56.323,4737.9,121.33,2.032
871_814.mp4,deepfakes,c40,11.6,348,30.295,0.632,2.02,0.725,2.485,24.432,2106.9,40.46,2.612
505_600.mp4,deepfakes,c40,18.1,543,24.438,0.471,2.107,0.546,2.146,19.169,1614.9,31.34,1.35
690_689.mp4,face2face,c23,15.17,455,30.233,0.6,2.057,0.71,2.504,24.362,2053.7,40.2,1.993
879_963.mp4,face2face,c23,23.07,692,32.6,1.244,2.699,0.716,2.71,25.231,2053.6,43.07,1.413
922_898.mp4,face2face,c23,13.96,349,24.185,0.533,2.093,0.528,2.062,18.969,1580.4,31.09,1.732
777_745.mp4,face2face,c23,18.97,569,24.326,0.47,2.068,0.537,2.369,18.882,1580.0,31.9,1.283
716_712.mp4,face2face,c23,22.0,550,22.619,0.453,2.106,0.482,2.329,17.25,1422.4,28.99,1.028
294_292.mp4,face2face,c23,14.17,425,66.823,1.369,2.256,1.748,5.263,56.186,4738.0,103.68,4.717
142_138.mp4,face2face,c23,16.4,410,21.089,0.443,2.756,0.466,2.301,15.123,1422.5,27.65,1.286
084_042.mp4,face2face,c23,22.53,338,162.503,3.425,2.3,4.882,10.273,141.623,10658.8,261.07,7.212
956_958.mp4,face2face,c23,15.68,392,30.851,0.66,2.189,0.711,2.444,24.848,2054.0,41.1,1.968
854_747.mp4,face2face,c23,18.8,470,62.083,1.377,2.276,1.676,5.331,51.423,4737.7,98.02,3.302
437_360.mp4,face2face,c40,15.4,385,64.823,1.366,2.182,1.753,5.921,53.601,4736.3,101.35,4.209
026_012.mp4,face2face,c40,14.52,363,24.607,0.461,2.163,0.531,2.121,19.33,1580.3,31.41,1.695
115_939.mp4,face2face,c40,17.03,511,64.787,1.53,2.595,1.775,5.426,53.461,4737.8,101.45,3.804
621_546.mp4,face2face,c40,23.8,714,60.71,2.745,2.237,1.673,5.161,48.895,4737.4,96.71,2.551
767_694.mp4,face2face,c40,11.96,299,23.117,0.448,2.139,0.586,2.298,17.645,1574.9,30.27,1.933
742_775.mp4,face2face,c40,18.63,559,25.222,0.466,2.517,0.538,2.201,19.501,1580.3,32.21,1.354
206_221.mp4,face2face,c40,28.72,718,22.853,0.933,2.137,0.521,2.23,17.033,1580.4,29.97,0.796
668_664.mp4,face2face,c40,9.77,293,23.427,0.453,2.162,0.545,2.421,17.845,1543.5,31.44,2.399
991_064.mp4,face2face,c40,16.08,402,22.8,0.444,2.103,0.534,2.387,17.33,1580.2,30.24,1.418
127_129.mp4,face2face,c40,11.0,330,66.561,1.361,2.245,1.742,5.264,55.95,4737.5,104.71,6.051
210_241.mp4,faceswap,c23,9.73,292,26.23,0.499,2.695,0.581,2.313,20.142,1571.9,33.67,2.695
108_052.mp4,faceswap,c23,10.0,300,107.74,2.469,2.278,3.011,8.126,91.856,7992.0,180.05,10.774
089_065.mp4,faceswap,c23,17.68,442,66.37,1.456,2.207,1.744,5.166,55.797,4737.6,102.74,3.754
726_713.mp4,faceswap,c23,13.67,410,174.072,3.188,2.484,4.719,10.3,153.382,10655.8,261.31,12.737
657_644.mp4,faceswap,c23,16.52,413,23.809,0.509,2.056,0.551,2.202,18.49,1619.8,31.2,1.441
520_542.mp4,faceswap,c23,12.8,320,65.072,1.401,2.81,1.73,5.231,53.9,4737.5,101.87,5.084
325_492.mp4,faceswap,c23,11.57,347,64.695,1.414,2.176,1.714,5.023,54.367,4738.1,100.89,5.593
173_171.mp4,faceswap,c23,18.03,541,65.308,1.392,2.256,1.737,5.28,54.643,4737.1,101.79,3.622
659_749.mp4,faceswap,c23,23.1,693,24.04,0.929,2.287,0.533,2.162,18.129,1580.1,31.46,1.041
528_510.mp4,faceswap,c23,13.6,340,26.904,0.539,2.1,0.605,2.38,21.281,1777.6,34.72,1.978
200_189.mp4,faceswap,c40,20.48,512,31.319,0.647,2.094,0.758,2.864,24.956,2108.3,42.21,1.529
955_078.mp4,faceswap,c40,20.92,523,23.632,0.464,2.112,0.537,2.411,18.108,1579.5,31.05,1.13
980_992.mp4,faceswap,c40,15.32,383,24.554,0.471,2.145,0.546,2.116,19.276,1619.9,31.46,1.603
053_095.mp4,faceswap,c40,16.68,417,24.309,0.468,2.087,0.548,2.106,19.101,1619.9,31.21,1.457
035_036.mp4,faceswap,c40,13.48,337,23.742,0.466,2.338,0.53,2.089,18.318,1580.2,30.58,1.761
646_643.mp4,faceswap,c40,12.13,364,23.869,0.462,2.195,0.535,2.389,18.287,1580.0,31.17,1.967
020_344.mp4,faceswap,c40,15.6,390,62.884,1.335,2.224,1.709,5.29,52.327,4737.3,100.37,4.031
