source_video_id,partition
000,test
001,train
002,train
003,test
004,val
005,train
006,train
007,train
008,train
009,train
010,train
011,train
012,test
013,train
014,train
015,test
016,train
017,train
018,train
019,train
020,train
021,train
022,train
023,val
024,test
025,train
026,test
027,train
028,train
029,test
030,train
031,train
032,train
033,train
034,train
035,test
036,test
037,train
038,train
039,train
040,train
041,train
042,val
043,train
044,test
045,train
046,val
047,test
048,test
049,train
050,train
051,train
052,train
053,train
054,train
055,train
056,train
057,train
058,train
059,train
060,train
061,train
062,train
063,train
064,val
065,train
066,train
067,train
068,train
069,train
070,train
071,train
072,train
073,test
074,train
075,train
076,train
077,train
078,test
079,train
080,train
081,train
082,train
083,train
084,val
085,train
086,train
087,train
088,train
089,train
090,train
091,val
092,train
093,train
094,train
095,train
096,train
097,train
098,train
099,train
100,train
101,train
102,test
103,train
104,val
105,train
106,val
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,test
115,val
116,val
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,val
127,train
128,test
129,train
130,train
131,train
132,train
133,train
134,val
135,test
136,train
137,train
138,test
139,train
140,train
141,test
142,test
143,train
144,train
145,val
146,train
147,train
148,train
149,train
150,train
151,train
152,train
153,train
154,test
155,train
156,train
157,val
158,test
159,val
160,train
161,test
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,test
170,test
171,train
172,train
173,train
174,train
175,val
176,test
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,test
187,train
188,train
189,train
190,test
191,train
192,val
193,train
194,train
195,train
196,train
197,train
198,val
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,train
212,train
213,train
214,test
215,train
216,train
217,train
218,train
219,test
220,test
221,train
222,train
223,val
224,train
225,train
226,train
227,test
228,train
229,train
230,train
231,train
232,train
233,test
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,val
246,train
247,train
248,train
249,test
250,train
251,train
252,train
253,train
254,val
255,test
256,train
257,test
258,train
259,train
260,train
261,val
262,train
263,val
264,train
265,train
266,train
267,train
268,train
269,train
270,train
271,train
272,train
273,val
274,train
275,train
276,train
277,train
278,test
279,train
280,test
281,train
282,train
283,train
284,val
285,train
286,train
287,train
288,test
289,train
290,train
291,train
292,train
293,train
294,train
295,train
296,train
297,train
298,train
299,val
300,train
301,train
302,train
303,train
304,train
305,train
306,test
307,train
308,test
309,train
310,train
311,train
312,train
313,train
314,test
315,train
316,val
317,train
318,train
319,test
320,train
321,test
322,train
323,train
324,train
325,val
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,val
343,train
344,train
345,train
346,train
347,test
348,train
349,val
350,val
351,train
352,test
353,train
354,val
355,train
356,train
357,train
358,test
359,train
360,train
361,train
362,val
363,train
364,val
365,train
366,train
367,test
368,train
369,val
370,val
371,test
372,train
373,train
374,train
375,train
376,test
377,train
378,train
379,test
380,test
381,test
382,train
383,train
384,test
385,train
386,test
387,train
388,test
389,test
390,train
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,test
400,train
401,train
402,val
403,train
404,test
405,train
406,train
407,train
408,train
409,train
410,train
411,train
412,train
413,train
414,train
415,train
416,val
417,train
418,test
419,val
420,test
421,test
422,test
423,test
424,train
425,test
